table_type,repair_mode,update_pct,distribution,stock_rows,orderline_rows,update_ops,j1_alloc_ms,j1_insert_ms,join1_build_ms,join1_probe_ms,update_ms,join2_build_ms,join2_probe_ms,total_ms,join1_matched,join2_matched,join1_total_qty,join2_total_qty
Naive,Nr,0.000000,zipf0.99,100000,299724,0,0.000479,30.100694,30.101173,75.801646,0.000007,23.003528,78.016584,206.922938,299724,299724,82405405,82405405
Heap,Nr,0.000000,zipf0.99,100000,299724,0,6.377382,24.182819,30.560202,90.931472,0.000104,0.000000,80.188104,201.679882,299724,299724,82405405,82405405
Heap,Rr,0.000000,zipf0.99,100000,299724,0,5.556708,24.120007,29.676715,93.621875,0.000048,0.000000,78.433715,201.732354,299724,299724,82405405,82405405
Heap,Wr,0.000000,zipf0.99,100000,299724,0,5.377431,21.589326,26.966757,82.634194,0.332952,0.000000,82.092722,192.026625,299724,299724,82405405,82405405
Chain,Wr,0.000000,zipf0.99,100000,299724,0,5.264826,17.728597,22.993424,73.574514,0.351319,0.000000,72.274056,169.193312,299724,299724,82405405,82405405
Par,Nr,0.000000,zipf0.99,100000,299724,0,5.268042,21.343805,26.611847,81.662618,0.000035,0.000000,75.380840,183.655340,299724,299724,82405405,82405405
Par,Rr,0.000000,zipf0.99,100000,299724,0,5.193340,21.384632,26.577972,73.427167,0.000021,0.000000,74.480986,174.486146,299724,299724,82405405,82405405
Par,Wr,0.000000,zipf0.99,100000,299724,0,5.455216,23.622708,29.077924,81.957785,0.351833,0.000000,84.469597,195.857139,299724,299724,82405405,82405405
Naive,Nr,5.000000,zipf0.99,100000,299724,5000,0.000528,30.075208,30.075736,74.771833,0.000007,21.370771,74.242715,200.461062,299724,299724,82405405,82447415
Heap,Nr,5.000000,zipf0.99,100000,299724,5000,4.818479,20.366326,25.184805,71.409660,1.035521,0.000000,97.536417,195.166403,299724,299727,82405405,82447925
Heap,Rr,5.000000,zipf0.99,100000,299724,5000,4.739694,20.085708,24.825403,71.529479,1.057347,0.000000,123.297403,220.709632,299724,299724,82405405,82447415
