table_type,repair_mode,reader_threads,writer_threads,bucket_num,total_probes,total_updates,total_ms,reader_throughput,writer_throughput
Snap,Nr,1,0,2048,75983,2000,91.531,836793.0,0.0
Ivmh,Nr,1,0,2048,75983,2000,101.013,753493.1,0.0
Heap,Nr,1,1,2048,75983,2000,43.620,1746045.2,45958.8
Heap,Rr,1,1,2048,75983,2000,71.889,1077721.1,28367.4
Heap,Wr,1,1,2048,75983,1998,32.570,2333222.5,61373.3
Chain,Wr,1,1,2048,75983,2000,36.272,2103150.3,55358.4
Par,Nr,1,1,2048,75983,2000,44.282,1716931.7,45192.5
Par,Rr,1,1,2048,75983,2000,58.675,1296968.7,34138.4
Par,Wr,1,1,2048,75983,2000,33.608,2260861.0,59489.8
Snap,Nr,2,0,2048,75983,2000,45.365,1675291.2,0.0
Ivmh,Nr,2,0,2048,75983,2000,72.336,1052409.5,0.0
Heap,Nr,2,1,2048,75983,2000,24.581,3110025.5,81861.1
Heap,Rr,2,1,2048,75983,2000,43.922,1845330.3,48572.2
Heap,Wr,2,1,2048,75983,1998,27.655,2788455.6,73349.8
Chain,Wr,2,1,2048,75983,2000,39.231,2143278.1,56414.7
Par,Nr,2,1,2048,75983,2000,30.771,2470204.4,65019.9
Par,Rr,2,1,2048,75983,2000,46.976,1623679.9,42738.0
Par,Wr,2,1,2048,75983,1999,27.428,2796785.6,73555.6
Snap,Nr,4,0,2048,75983,2000,61.142,1265123.7,0.0
Ivmh,Nr,4,0,2048,75983,2000,88.162,864622.7,0.0
Heap,Nr,4,1,2048,75983,2000,18.602,4087976.7,107602.4
Heap,Rr,4,1,2048,75983,2000,23.642,3248930.2,85517.3
Heap,Wr,4,1,2048,75983,1998,23.462,3270425.2,86024.1
Chain,Wr,4,1,2048,75983,2000,21.564,3526158.6,92814.4
Par,Nr,4,1,2048,75983,2000,24.854,3059234.4,80524.2
Par,Wr,4,1,2048,75983,1998,21.065,3608476.8,94854.1
Snap,Nr,8,0,2048,75983,2000,53.247,1444147.3,0.0
Ivmh,Nr,8,0,2048,75983,2000,88.504,860845.3,0.0
Heap,Nr,8,1,2048,75983,2000,21.780,3518287.7,92607.2
Heap,Rr,8,1,2048,75983,2000,22.854,3458838.3,91042.4
Heap,Wr,8,1,2048,75983,1996,30.100,2540209.8,66758.9
Chain,Wr,8,1,2048,75983,2000,31.572,2557714.7,67323.3
Par,Nr,8,1,2048,75983,2000,38.655,2011619.5,52949.2
Par,Rr,8,1,2048,75983,2000,59.400,1389696.7,36579.1
Par,Wr,8,1,2048,75983,1995,46.484,2043907.7,53623.0
