table_type,repair_mode,reader_threads,writer_threads,bucket_num,total_probes,total_updates,total_ms,reader_throughput,writer_throughput
Snap,Nr,4,0,2048,7630,0,5.961,1280504.2,0.0
Snap,Nr,4,0,2048,7630,40,11.300,680097.4,0.0
Heap,Nr,4,1,2048,7630,40,2.995,2666263.7,13977.8
Heap,Rr,4,1,2048,7630,40,1.920,4019699.5,21073.1
Heap,Wr,4,1,2048,7630,40,3.302,2560854.3,13425.2
Chain,Wr,4,1,2048,7630,40,1.900,4033627.4,21146.1
Par,Nr,4,1,2048,7630,40,1.451,5328800.9,27936.0
Par,Rr,4,1,2048,7630,40,2.003,3853542.7,20202.1
Par,Wr,4,1,2048,7630,40,1.705,4487831.4,23527.3
Snap,Nr,4,0,2048,7630,80,6.312,1213698.1,0.0
Heap,Nr,4,1,2048,7630,80,1.864,4117705.7,43173.8
Heap,Rr,4,1,2048,7630,80,1.946,3926571.3,41169.8
Heap,Wr,4,1,2048,7630,80,1.695,4594788.4,48176.0
Chain,Wr,4,1,2048,7630,80,1.694,4508406.5,47270.3
Par,Nr,4,1,2048,7630,80,2.079,3813391.3,39983.1
Par,Rr,4,1,2048,7630,80,1.982,3864150.5,40515.3
Par,Wr,4,1,2048,7630,80,1.808,4221428.9,44261.4
Snap,Nr,4,0,2048,7630,120,9.526,828662.1,0.0
Heap,Nr,4,1,2048,7630,120,1.743,4377932.7,68853.5
Heap,Rr,4,1,2048,7630,120,2.087,3663019.4,57609.7
Heap,Wr,4,1,2048,7630,120,1.562,4889537.5,76899.7
Chain,Wr,4,1,2048,7630,120,1.752,4358416.8,68546.5
Par,Nr,4,1,2048,7630,120,1.773,4305439.5,67713.3
Par,Wr,4,1,2048,7630,120,1.745,4372771.4,68390.3
Snap,Nr,4,0,2048,7630,160,5.953,1282090.4,0.0
Heap,Nr,4,1,2048,7630,160,1.963,4047655.1,84878.7
Heap,Rr,4,1,2048,7630,160,1.779,4290546.0,89972.1
Heap,Wr,4,1,2048,7630,160,1.489,5127103.3,107514.6
Chain,Wr,4,1,2048,7630,160,1.738,4391584.6,92090.9
Par,Nr,4,1,2048,7630,160,1.774,4304515.8,90265.1
Par,Rr,4,1,2048,7630,160,2.009,3800484.2,79695.6
Par,Wr,4,1,2048,7630,160,2.074,3740576.5,78439.4
Snap,Nr,4,0,2048,7630,200,5.866,1301032.4,0.0
Heap,Nr,4,1,2048,7630,200,1.884,4093998.7,107313.2
Heap,Rr,4,1,2048,7630,200,1.994,3849561.6,100905.9
Heap,Wr,4,1,2048,7630,200,1.557,4900848.0,128462.6
Chain,Wr,4,1,2048,7630,200,1.737,4393361.2,115160.2
Par,Nr,4,1,2048,7630,200,1.888,4044218.2,106008.3
Par,Rr,4,1,2048,7630,200,2.438,3162218.5,82889.1
Par,Wr,4,1,2048,7630,200,2.148,3568821.9,93389.2
