table_type,repair_mode,round,rounds_total,bucket_num,delta_r_count,delta_s_count,build_r_ms,build_s_ms,delta_r_update_ms,delta_r_probe_ms,delta_s_insert_ms,delta_s_probe_ms,total_round_ms,total_ms
Snap,Nr,0,10,4096,200,1520,31.763,12.835,35.798,0.140,14.221,1.080,51.239,653.660
Snap,Nr,1,10,4096,200,1520,31.763,12.835,33.001,0.148,13.835,0.954,47.939,653.660
Snap,Nr,2,10,4096,200,1520,31.763,12.835,35.410,0.149,14.981,0.945,51.485,653.660
Snap,Nr,3,10,4096,200,1520,31.763,12.835,36.260,0.170,14.457,0.934,51.822,653.660
Snap,Nr,4,10,4096,200,1520,31.763,12.835,34.801,0.142,16.825,1.286,53.053,653.660
Snap,Nr,5,10,4096,200,1520,31.763,12.835,41.566,0.219,23.666,1.339,66.790,653.660
Snap,Nr,6,10,4096,200,1520,31.763,12.835,40.541,0.152,19.592,1.050,61.335,653.660
Snap,Nr,7,10,4096,200,1520,31.763,12.835,40.995,0.180,20.887,1.034,63.097,653.660
Snap,Nr,8,10,4096,200,1520,31.763,12.835,41.772,0.155,21.651,1.106,64.685,653.660
Snap,Nr,9,10,4096,200,1517,31.763,12.835,43.326,0.167,23.734,1.035,68.263,653.660
Ivmh,Nr,0,10,4096,200,1520,67.803,20.034,32.724,0.127,12.321,0.982,46.154,646.970
Ivmh,Nr,1,10,4096,200,1520,67.803,20.034,32.340,0.137,12.404,0.978,45.858,646.970
Ivmh,Nr,2,10,4096,200,1520,67.803,20.034,33.417,0.149,12.765,0.981,47.313,646.970
Ivmh,Nr,3,10,4096,200,1520,67.803,20.034,33.196,0.129,13.143,0.993,47.460,646.970
Ivmh,Nr,4,10,4096,200,1520,67.803,20.034,33.330,0.139,18.150,1.505,53.124,646.970
Ivmh,Nr,5,10,4096,200,1520,67.803,20.034,37.890,0.182,19.076,1.193,58.342,646.970
Ivmh,Nr,6,10,4096,200,1520,67.803,20.034,39.430,0.153,20.209,1.427,61.218,646.970
Ivmh,Nr,7,10,4096,200,1520,67.803,20.034,38.024,0.153,19.862,1.175,59.213,646.970
Ivmh,Nr,8,10,4096,200,1520,67.803,20.034,44.661,0.194,21.993,1.083,67.931,646.970
Ivmh,Nr,9,10,4096,200,1517,67.803,20.034,45.403,0.180,25.772,1.158,72.513,646.970
Heap,Wr,0,10,4096,200,1520,51.643,18.390,0.155,0.039,0.363,0.749,1.306,81.926
Heap,Wr,1,10,4096,200,1520,51.643,18.390,0.102,0.045,0.377,0.662,1.186,81.926
Heap,Wr,2,10,4096,200,1520,51.643,18.390,0.095,0.055,0.421,0.639,1.211,81.926
Heap,Wr,3,10,4096,200,1520,51.643,18.390,0.092,0.060,0.443,0.606,1.200,81.926
Heap,Wr,4,10,4096,200,1520,51.643,18.390,0.088,0.061,0.448,0.585,1.181,81.926
Heap,Wr,5,10,4096,200,1520,51.643,18.390,0.086,0.063,0.442,0.579,1.170,81.926
Heap,Wr,6,10,4096,200,1520,51.643,18.390,0.088,0.064,0.439,0.574,1.166,81.926
Heap,Wr,7,10,4096,200,1520,51.643,18.390,0.085,0.065,0.433,0.573,1.157,81.926
Heap,Wr,8,10,4096,200,1520,51.643,18.390,0.087,0.061,0.441,0.572,1.162,81.926
Heap,Wr,9,10,4096,200,1517,51.643,18.390,0.085,0.061,0.433,0.573,1.152,81.926
Chain,Wr,0,10,4096,200,1520,45.019,17.107,0.363,0.042,0.339,0.814,1.557,76.626
Chain,Wr,1,10,4096,200,1520,45.019,17.107,0.358,0.054,0.369,0.724,1.505,76.626
Chain,Wr,2,10,4096,200,1520,45.019,17.107,0.333,0.061,0.410,0.694,1.498,76.626
Chain,Wr,3,10,4096,200,1520,45.019,17.107,0.340,0.071,0.430,0.656,1.497,76.626
Chain,Wr,4,10,4096,200,1520,45.019,17.107,0.307,0.069,0.441,0.638,1.455,76.626
Chain,Wr,5,10,4096,200,1520,45.019,17.107,0.304,0.072,0.430,0.613,1.419,76.626
Chain,Wr,6,10,4096,200,1520,45.019,17.107,0.307,0.074,0.430,0.608,1.419,76.626
Chain,Wr,7,10,4096,200,1520,45.019,17.107,0.298,0.072,0.421,0.607,1.399,76.626
Chain,Wr,8,10,4096,200,1520,45.019,17.107,0.283,0.072,0.427,0.597,1.378,76.626
Chain,Wr,9,10,4096,200,1517,45.019,17.107,0.293,0.068,0.416,0.596,1.372,76.626
Par,Wr,0,10,4096,200,1520,53.277,18.864,0.336,0.051,1.765,0.950,3.102,93.742
Par,Wr,1,10,4096,200,1520,53.277,18.864,0.316,0.122,1.443,0.821,2.701,93.742
Par,Wr,2,10,4096,200,1520,53.277,18.864,0.286,0.133,1.206,0.779,2.404,93.742
Par,Wr,3,10,4096,200,1520,53.277,18.864,0.282,0.143,1.104,0.738,2.267,93.742
Par,Wr,4,10,4096,200,1520,53.277,18.864,0.277,0.149,0.899,0.717,2.041,93.742
Par,Wr,5,10,4096,200,1520,53.277,18.864,0.270,0.146,0.799,0.734,1.950,93.742
Par,Wr,6,10,4096,200,1520,53.277,18.864,0.274,0.144,0.694,0.675,1.788,93.742
Par,Wr,7,10,4096,200,1520,53.277,18.864,0.254,0.131,0.638,0.649,1.671,93.742
Par,Wr,8,10,4096,200,1520,53.277,18.864,0.253,0.119,0.580,0.639,1.591,93.742
Par,Wr,9,10,4096,200,1517,53.277,18.864,0.262,0.129,0.603,0.629,1.624,93.742
