table_type,repair_mode,total_updates,total_probes,rebuild_ms,query_ms,total_ms
snap,nr,0,75983,27.413,26.808,54.184
ivmh,nr,0,75983,50.886,26.166,76.707
heap,wr,0,75983,0.000,27.865,27.865
heap,nr,0,75983,0.000,32.886,32.886
chain,wr,0,75983,0.000,28.866,28.866
par,nr,0,75983,0.000,29.712,29.712
par,wr,0,75983,0.000,29.375,29.375
snap,nr,2000,75983,26.957,26.897,53.859
ivmh,nr,2000,75983,46.606,27.490,74.090
heap,wr,2000,75983,0.000,39.355,39.355
heap,nr,2000,75983,0.000,46.567,46.567
chain,wr,2000,75983,0.000,35.736,35.736
par,nr,2000,75983,0.000,33.468,33.468
par,wr,2000,75983,0.000,28.649,28.649
snap,nr,4000,75983,27.581,26.809,54.646
ivmh,nr,4000,75983,46.834,27.131,74.083
heap,wr,4000,75983,0.000,36.294,36.294
heap,nr,4000,75983,0.000,40.219,40.219
chain,wr,4000,75983,0.000,39.691,39.691
par,nr,4000,75983,0.000,29.301,29.301
par,wr,4000,75983,0.000,29.552,29.552
snap,nr,6000,75983,28.027,26.849,54.934
ivmh,nr,6000,75983,48.763,26.617,75.443
heap,wr,6000,75983,0.000,45.517,45.517
heap,nr,6000,75983,0.000,46.828,46.828
chain,wr,6000,75983,0.000,74.751,74.751
par,nr,6000,75983,0.000,37.797,37.797
par,wr,6000,75983,0.000,47.133,47.133
snap,nr,8000,75983,30.455,31.314,62.914
ivmh,nr,8000,75983,53.007,30.801,84.912
heap,wr,8000,75983,0.000,39.727,39.727
heap,nr,8000,75983,0.000,37.527,37.527
chain,wr,8000,75983,0.000,53.394,53.394
par,nr,8000,75983,0.000,45.598,45.598
par,wr,8000,75983,0.000,34.876,34.876
snap,nr,10000,75983,34.346,48.941,84.612
ivmh,nr,10000,75983,61.016,45.749,108.310
heap,wr,10000,75983,0.000,57.333,57.333
heap,nr,10000,75983,0.000,41.182,41.182
chain,wr,10000,75983,0.000,45.917,45.917
par,nr,10000,75983,0.000,30.718,30.718
par,wr,10000,75983,0.000,29.560,29.560
snap,nr,20000,75983,29.549,27.933,57.481
ivmh,nr,20000,75983,48.448,33.186,82.390
heap,wr,20000,75983,0.000,52.546,52.546
heap,nr,20000,75983,0.000,41.164,41.164
chain,wr,20000,75983,0.000,50.029,50.029
par,nr,20000,75983,0.000,31.681,31.681
par,wr,20000,75983,0.000,30.356,30.356
snap,nr,30000,75983,28.099,29.170,57.481
ivmh,nr,30000,75983,64.604,63.938,127.139
heap,wr,30000,75983,0.000,61.304,61.304
heap,nr,30000,75983,0.000,45.675,45.675
chain,wr,30000,75983,0.000,51.439,51.439
par,nr,30000,75983,0.000,34.689,34.689
par,wr,30000,75983,0.000,33.436,33.436
snap,nr,40000,75983,29.526,30.028,59.920
ivmh,nr,40000,75983,50.183,38.960,88.323
heap,wr,40000,75983,0.000,42.703,42.703
heap,nr,40000,75983,0.000,45.038,45.038
chain,wr,40000,75983,0.000,54.446,54.446
par,nr,40000,75983,0.000,32.216,32.216
par,wr,40000,75983,0.000,30.682,30.682
