table_type,repair_type,tx_type,duration_ms
chain,Write Repair,DelSc,20579.479468999998
chain,Write Repair,GbgCollect,1.09608
chain,Write Repair,HistoryScan,12395.240568000001
chain,Write Repair,InitLoad,752.092268
chain,Write Repair,MarkTs,0.0
chain,Write Repair,Probe,2882.876027
chain,Write Repair,RecentScan,13570.481335999999
chain,Write Repair,Update,1821.794772
heap,No Repair,DelSc,21814.42095
heap,No Repair,GbgCollect,1417.04814
heap,No Repair,HistoryScan,18700.127205999997
heap,No Repair,InitLoad,833.027842
heap,No Repair,MarkTs,0.0
heap,No Repair,Probe,4008.2638450000004
heap,No Repair,RecentScan,20851.698583
heap,No Repair,Update,50.099901
heap,Read Repair,DelSc,22053.778877
heap,Read Repair,GbgCollect,1448.925721
heap,Read Repair,HistoryScan,13775.527193000002
heap,Read Repair,InitLoad,745.342954
heap,Read Repair,MarkTs,0.001071
heap,Read Repair,Probe,4167.342753999999
heap,Read Repair,RecentScan,20999.872957000003
heap,Read Repair,Update,153.26284899999996
heap,Write Repair,DelSc,21847.226921999998
heap,Write Repair,GbgCollect,1424.9146409999998
heap,Write Repair,HistoryScan,11300.721495
heap,Write Repair,InitLoad,766.034682
heap,Write Repair,MarkTs,0.0010220000000000001
heap,Write Repair,Probe,4074.6176349999996
heap,Write Repair,RecentScan,12814.105072999999
heap,Write Repair,Update,1794.7753749999997
naive,Write Repair,DelSc,45957.505309
naive,Write Repair,GbgCollect,0.0
naive,Write Repair,HistoryScan,10367.806908
naive,Write Repair,InitLoad,831.022143
naive,Write Repair,MarkTs,19522.26601
naive,Write Repair,Probe,2712.3230439999998
naive,Write Repair,RecentScan,11424.081996
naive,Write Repair,Update,36.955102
par,No Repair,DelSc,81.837206
par,No Repair,GbgCollect,1452.81704
par,No Repair,HistoryScan,18763.374735
par,No Repair,InitLoad,793.916624
par,No Repair,MarkTs,179.065561
par,No Repair,Probe,5378.370685
par,No Repair,RecentScan,20889.098072999994
par,No Repair,Update,30.453706
par,Read Repair,DelSc,1162.482835
par,Read Repair,GbgCollect,1440.708183
par,Read Repair,HistoryScan,13025.761187000002
par,Read Repair,InitLoad,783.398123
par,Read Repair,MarkTs,169.13871799999998
par,Read Repair,Probe,5345.507919
par,Read Repair,RecentScan,19115.510111000003
par,Read Repair,Update,30.775673000000005
par,Write Repair,DelSc,79.514317
par,Write Repair,GbgCollect,1415.074779
par,Write Repair,HistoryScan,9915.400537
par,Write Repair,InitLoad,829.510962
par,Write Repair,MarkTs,159.51053
par,Write Repair,Probe,5354.690686999999
par,Write Repair,RecentScan,10937.058760999998
par,Write Repair,Update,1832.3994219999997
