table_type,repair_type,tx_type,duration_ms
chain,Write Repair,DelSc,23846.614192
chain,Write Repair,HistoryScan,15258.536368000001
chain,Write Repair,InitLoad,735.015518
chain,Write Repair,MarkTs,0.0
chain,Write Repair,Probe,3565.315555
chain,Write Repair,RecentScan,16362.495338
chain,Write Repair,Update,170.750564
heap,No Repair,DelSc,25571.910953
heap,No Repair,HistoryScan,25309.771451
heap,No Repair,InitLoad,748.920045
heap,No Repair,MarkTs,0.0011870000000000001
heap,No Repair,Probe,4854.785409
heap,No Repair,RecentScan,26378.759528
heap,No Repair,Update,22.655394
heap,Read Repair,DelSc,25517.327968999998
heap,Read Repair,HistoryScan,15507.265564
heap,Read Repair,InitLoad,742.404987
heap,Read Repair,MarkTs,0.0
heap,Read Repair,Probe,5052.118377000001
heap,Read Repair,RecentScan,17806.456148
heap,Read Repair,Update,21.214551
heap,Write Repair,DelSc,25574.020764
heap,Write Repair,HistoryScan,15824.875511999999
heap,Write Repair,InitLoad,746.152775
heap,Write Repair,MarkTs,0.0
heap,Write Repair,Probe,4879.813182
heap,Write Repair,RecentScan,16318.394777999998
heap,Write Repair,Update,216.42207200000001
naive,Write Repair,DelSc,58744.851199
naive,Write Repair,HistoryScan,13371.677274
naive,Write Repair,InitLoad,861.024125
naive,Write Repair,MarkTs,23877.194071
naive,Write Repair,Probe,3421.7924270000003
naive,Write Repair,RecentScan,13956.643747
naive,Write Repair,Update,3.712624
par,No Repair,DelSc,33.849503
par,No Repair,HistoryScan,23640.947272999998
par,No Repair,InitLoad,773.898722
par,No Repair,MarkTs,188.800008
par,No Repair,Probe,6561.562473
par,No Repair,RecentScan,24735.6492
par,No Repair,Update,2.795252
par,Read Repair,DelSc,32.505950999999996
par,Read Repair,HistoryScan,13012.8029
par,Read Repair,InitLoad,788.886791
par,Read Repair,MarkTs,189.607295
par,Read Repair,Probe,6566.8371480000005
par,Read Repair,RecentScan,15137.712040999999
par,Read Repair,Update,2.87718
par,Write Repair,DelSc,33.224952
par,Write Repair,HistoryScan,15451.982472
par,Write Repair,InitLoad,783.21927
par,Write Repair,MarkTs,189.401411
par,Write Repair,Probe,6582.357437000001
par,Write Repair,RecentScan,14807.393707000001
par,Write Repair,Update,169.08003100000002
