txn_delta_ratio,table_type,repair_type,speed_ratio_over_naive
0.0,chain,Write Repair,1.6785967861944886
0.0,heap,No Repair,1.052412932885397
0.0,heap,Read Repair,1.3219421377341287
0.0,heap,Write Repair,1.5005451351147596
0.0,par,No Repair,1.060123934947115
0.0,par,Read Repair,1.3327352332383824
0.0,par,Write Repair,1.5790655997532577
0.05,chain,Write Repair,1.624339829537503
0.05,heap,No Repair,1.1121261571070267
0.05,heap,Read Repair,1.3610824877651007
0.05,heap,Write Repair,1.4755725573959857
0.05,par,No Repair,1.1325963524867897
0.05,par,Read Repair,1.4688673396777456
0.05,par,Write Repair,1.5842846536501842
0.1,chain,Write Repair,1.7306536972141398
0.1,heap,No Repair,1.1855084660737472
0.1,heap,Read Repair,1.3753273617190422
0.1,heap,Write Repair,1.543952867198569
0.1,par,No Repair,1.413213400435359
0.1,par,Read Repair,1.5439287436070763
0.1,par,Write Repair,1.7768266991965136
0.15,chain,Write Repair,1.7373838640647918
0.15,heap,No Repair,1.2317714225056715
0.15,heap,Read Repair,1.512462785274711
0.15,heap,Write Repair,1.6714615189337267
0.15,par,No Repair,1.6457720761207426
0.15,par,Read Repair,1.9298393205374076
0.15,par,Write Repair,2.2065729173443596
0.2,chain,Write Repair,1.8061558891533218
0.2,heap,No Repair,1.3607960525522296
0.2,heap,Read Repair,1.5536040947648422
0.2,heap,Write Repair,1.7091328126935537
0.2,par,No Repair,1.8409031417006416
0.2,par,Read Repair,2.2001081306629757
0.2,par,Write Repair,2.458910910977774
0.25,chain,Write Repair,1.852719878432888
0.25,heap,No Repair,1.3754704171683438
0.25,heap,Read Repair,1.5004700563696656
0.25,heap,Write Repair,1.6753427987664322
0.25,par,No Repair,2.1118854436679637
0.25,par,Read Repair,2.4414760680382823
0.25,par,Write Repair,2.807955829974575
