table_type,repair_type,tx_type,duration_ms
chain,Write Repair,DelSc,24433.116019999998
chain,Write Repair,GbgCollect,0.5808110000000001
chain,Write Repair,HistoryScan,14281.682545999998
chain,Write Repair,InitLoad,757.007439
chain,Write Repair,MarkTs,0.0
chain,Write Repair,Probe,3512.8871559999993
chain,Write Repair,RecentScan,15464.6343
chain,Write Repair,Update,645.077626
heap,No Repair,DelSc,25576.243276
heap,No Repair,GbgCollect,1408.851578
heap,No Repair,HistoryScan,22954.512305
heap,No Repair,InitLoad,737.555967
heap,No Repair,MarkTs,0.0
heap,No Repair,Probe,4782.460088000001
heap,No Repair,RecentScan,24584.238445
heap,No Repair,Update,13.98104
heap,Read Repair,DelSc,26234.439196000003
heap,Read Repair,GbgCollect,1412.490961
heap,Read Repair,HistoryScan,13435.417001
heap,Read Repair,InitLoad,737.478803
heap,Read Repair,MarkTs,0.002271
heap,Read Repair,Probe,5149.213516999999
heap,Read Repair,RecentScan,19519.350176
heap,Read Repair,Update,101.16199300000001
heap,Write Repair,DelSc,25683.384522000004
heap,Write Repair,GbgCollect,1385.946953
heap,Write Repair,HistoryScan,12808.704730000001
heap,Write Repair,InitLoad,736.799767
heap,Write Repair,MarkTs,0.0
heap,Write Repair,Probe,4795.132989000001
heap,Write Repair,RecentScan,14076.190653
heap,Write Repair,Update,606.197247
naive,Write Repair,DelSc,56142.31079699999
naive,Write Repair,GbgCollect,0.0
naive,Write Repair,HistoryScan,12410.037746
naive,Write Repair,InitLoad,836.121858
naive,Write Repair,MarkTs,22271.137809999997
naive,Write Repair,Probe,3271.948382
naive,Write Repair,RecentScan,13554.509400000003
naive,Write Repair,Update,13.062212
par,No Repair,DelSc,50.56448799999999
par,No Repair,GbgCollect,1392.902573
par,No Repair,HistoryScan,21807.001797999998
par,No Repair,InitLoad,777.868442
par,No Repair,MarkTs,182.18454300000002
par,No Repair,Probe,6310.592040999999
par,No Repair,RecentScan,23719.236221
par,No Repair,Update,10.268923
par,Read Repair,DelSc,4526.746097
par,Read Repair,GbgCollect,1384.291545
par,Read Repair,HistoryScan,12554.928614000002
par,Read Repair,InitLoad,801.798897
par,Read Repair,MarkTs,200.552914
par,Read Repair,Probe,6350.368679999999
par,Read Repair,RecentScan,18017.896520000002
par,Read Repair,Update,10.216812999999998
par,Write Repair,DelSc,49.00751200000001
par,Write Repair,GbgCollect,1405.149338
par,Write Repair,HistoryScan,11575.599017999999
par,Write Repair,InitLoad,803.93938
par,Write Repair,MarkTs,181.995573
par,Write Repair,Probe,6265.26077
par,Write Repair,RecentScan,12780.964531000001
par,Write Repair,Update,597.905739
