table_type,repair_type,tx_type,duration_ms
chain,Write Repair,DelSc,1227.2189600000002
chain,Write Repair,GbgCollect,0.943591
chain,Write Repair,HistoryScan,1316.683681
chain,Write Repair,InitLoad,734.333507
chain,Write Repair,MarkTs,0.0
chain,Write Repair,Probe,150.736474
chain,Write Repair,RecentScan,1925.7581440000001
chain,Write Repair,Update,7737.757742999999
heap,No Repair,DelSc,1282.369479
heap,No Repair,GbgCollect,568.184604
heap,No Repair,HistoryScan,1982.3320760000001
heap,No Repair,InitLoad,1067.2004989999998
heap,No Repair,MarkTs,0.0
heap,No Repair,Probe,212.814281
heap,No Repair,RecentScan,2953.503325
heap,No Repair,Update,163.045653
heap,Read Repair,DelSc,1344.4617409999998
heap,Read Repair,GbgCollect,570.514889
heap,Read Repair,HistoryScan,1152.84373
heap,Read Repair,InitLoad,784.448883
heap,Read Repair,MarkTs,0.0
heap,Read Repair,Probe,214.273577
heap,Read Repair,RecentScan,4319.04134
heap,Read Repair,Update,207.96133700000004
heap,Write Repair,DelSc,1291.595753
heap,Write Repair,GbgCollect,554.841728
heap,Write Repair,HistoryScan,1256.016458
heap,Write Repair,InitLoad,746.066964
heap,Write Repair,MarkTs,0.0
heap,Write Repair,Probe,211.92133
heap,Write Repair,RecentScan,1838.1780670000003
heap,Write Repair,Update,8297.379417
naive,Write Repair,DelSc,2546.333706
naive,Write Repair,GbgCollect,0.0
naive,Write Repair,HistoryScan,1053.201508
naive,Write Repair,InitLoad,841.430221
naive,Write Repair,MarkTs,3559.6439950000004
naive,Write Repair,Probe,140.901394
naive,Write Repair,RecentScan,1613.954702
naive,Write Repair,Update,153.973019
par,No Repair,DelSc,11.314896
par,No Repair,GbgCollect,579.062179
par,No Repair,HistoryScan,1987.724028
par,No Repair,InitLoad,801.061125
par,No Repair,MarkTs,29.91641
par,No Repair,Probe,282.975052
par,No Repair,RecentScan,2939.877073
par,No Repair,Update,151.37908200000004
par,Read Repair,DelSc,1339.96547
par,Read Repair,GbgCollect,576.948343
par,Read Repair,HistoryScan,1181.338253
par,Read Repair,InitLoad,782.871063
par,Read Repair,MarkTs,29.94943
par,Read Repair,Probe,279.495119
par,Read Repair,RecentScan,4324.295546
par,Read Repair,Update,152.20729500000002
par,Write Repair,DelSc,12.195417
par,Write Repair,GbgCollect,575.190555
par,Write Repair,HistoryScan,1174.644603
par,Write Repair,InitLoad,793.215943
par,Write Repair,MarkTs,30.130051
par,Write Repair,Probe,281.87892
par,Write Repair,RecentScan,1753.5410810000003
par,Write Repair,Update,8344.447196000001
