table_type,repair_type,tx_type,duration_ms
chain,Write Repair,DelSc,14905.052533999999
chain,Write Repair,GbgCollect,2.357834
chain,Write Repair,HistoryScan,8130.229541
chain,Write Repair,InitLoad,751.174882
chain,Write Repair,MarkTs,0.0
chain,Write Repair,Probe,1957.0177039999999
chain,Write Repair,RecentScan,9023.077464000002
chain,Write Repair,Update,4721.863149000001
heap,No Repair,DelSc,15239.01782
heap,No Repair,GbgCollect,1473.256613
heap,No Repair,HistoryScan,11929.343104000001
heap,No Repair,InitLoad,758.152847
heap,No Repair,MarkTs,0.0
heap,No Repair,Probe,2860.610213
heap,No Repair,RecentScan,13182.104531
heap,No Repair,Update,90.889784
heap,Read Repair,DelSc,15421.974617999998
heap,Read Repair,GbgCollect,1427.86007
heap,Read Repair,HistoryScan,6716.408501
heap,Read Repair,InitLoad,761.850646
heap,Read Repair,MarkTs,0.001029
heap,Read Repair,Probe,2840.608787
heap,Read Repair,RecentScan,16708.040757
heap,Read Repair,Update,156.054969
heap,Write Repair,DelSc,15123.645219000002
heap,Write Repair,GbgCollect,1465.563746
heap,Write Repair,HistoryScan,6725.229262000001
heap,Write Repair,InitLoad,747.987454
heap,Write Repair,MarkTs,0.0
heap,Write Repair,Probe,2858.612912
heap,Write Repair,RecentScan,7695.847425
heap,Write Repair,Update,4658.962622999999
naive,Write Repair,DelSc,29748.816406999995
naive,Write Repair,GbgCollect,0.0
naive,Write Repair,HistoryScan,6391.113068
naive,Write Repair,InitLoad,825.742246
naive,Write Repair,MarkTs,13889.887364
naive,Write Repair,Probe,1870.8747479999997
naive,Write Repair,RecentScan,7656.495176
naive,Write Repair,Update,104.754256
par,No Repair,DelSc,111.386395
par,No Repair,GbgCollect,1459.022516
par,No Repair,HistoryScan,12111.181148
par,No Repair,InitLoad,902.633985
par,No Repair,MarkTs,101.632338
par,No Repair,Probe,3716.4232329999995
par,No Repair,RecentScan,13455.284247
par,No Repair,Update,74.71821
par,Read Repair,DelSc,4095.0744130000003
par,Read Repair,GbgCollect,1441.768908
par,Read Repair,HistoryScan,6089.233930999999
par,Read Repair,InitLoad,787.076698
par,Read Repair,MarkTs,102.28266500000001
par,Read Repair,Probe,3694.301537
par,Read Repair,RecentScan,16297.181695
par,Read Repair,Update,75.59451800000001
par,Write Repair,DelSc,111.71989500000001
par,Write Repair,GbgCollect,1446.6310990000002
par,Write Repair,HistoryScan,6203.470123999999
par,Write Repair,InitLoad,789.001051
par,Write Repair,MarkTs,102.155501
par,Write Repair,Probe,3685.814516
par,Write Repair,RecentScan,7363.745372
par,Write Repair,Update,4395.994678
