scan_reuse_ratio,table_type,repair_type,speed_ratio_over_naive,base,avg_dur
0.0,chain,Write Repair,2.099894654377737,70329.393079,33491.867286
0.0,heap,No Repair,1.546074647134981,70329.393079,45489.00223500001
0.0,heap,Read Repair,1.6247727713203524,70329.393079,43285.679277999996
0.0,heap,Write Repair,2.06021411110576,70329.393079,34136.933972
0.0,par,No Repair,2.1914989239580116,70329.393079,32091.913124000002
0.0,par,Read Repair,2.2400978544328924,70329.393079,31395.678960999998
0.0,par,Write Repair,3.3804132943263516,70329.393079,20804.968788
0.20,par,Write Repair,2.966825320878911,65328.24590000001,22019.579461
0.20,par,Read Repair,2.072552177441782,65328.24590000001,31520.676107
0.20,par,No Repair,2.06506623326267,65328.24590000001,31634.939765000003
0.20,heap,No Repair,1.4988045848585554,65328.24590000001,43586.900227
0.20,heap,Read Repair,1.5162312847793538,65328.24590000001,43085.937189000004
0.20,chain,Write Repair,1.9656016932345832,65328.24590000001,33235.749707
0.20,heap,Write Repair,1.9088079505450373,65328.24590000001,34224.630027
0.40,par,No Repair,1.9082568269307143,59708.758628,31289.686894000002
0.40,par,Read Repair,2.087226533985172,59708.758628,28606.745677
0.40,heap,Write Repair,1.7358833768533346,59708.758628,34396.756962
0.40,par,Write Repair,2.9643181594870454,59708.758628,20142.493286999998
0.40,heap,No Repair,1.3114724392820853,59708.758628,45528.031577
0.40,chain,Write Repair,1.791059924921444,59708.758628,33337.108265999996
0.40,heap,Read Repair,1.432886071371529,59708.758628,41670.276389000006
0.60,chain,Write Repair,1.6934412375109043,56672.681123999995,33465.986223
0.60,heap,No Repair,1.2917163030190026,56672.681123999995,43873.938102
0.60,heap,Read Repair,1.396427856705721,56672.681123999995,40584.037945
0.60,heap,Write Repair,1.6544929576502934,56672.681123999995,34253.806196000005
0.60,par,No Repair,1.7841395094083972,56672.681123999995,31764.713927999997
0.60,par,Read Repair,1.8985429714954696,56672.681123999995,29850.618066000003
0.60,par,Write Repair,2.754803820371631,56672.681123999995,20572.311068000003
0.80,par,Write Repair,2.3292004983758807,50774.659333999996,21799.179319000003
0.80,par,Read Repair,1.814470580637764,50774.659333999996,27983.181362000003
0.80,par,No Repair,1.6287000438284889,50774.659333999996,31174.960377999996
0.80,heap,No Repair,1.0776334019070382,50774.659333999996,47116.820288
0.80,heap,Read Repair,1.2838546188720252,50774.659333999996,39548.605104999995
0.80,chain,Write Repair,1.5213873577145194,50774.659333999996,33373.919584999996
0.80,heap,Write Repair,1.4231954130396092,50774.659333999996,35676.519801
0.99,par,Read Repair,2.0946941404287513,47906.397788999995,22870.354609
0.99,chain,Write Repair,1.4266209403500871,47906.397788999995,33580.327075
0.99,heap,No Repair,1.1322863010615718,47906.397788999995,42309.43865
0.99,heap,Read Repair,1.417327516045689,47906.397788999995,33800.513464
0.99,heap,Write Repair,1.445776752475289,47906.397788999995,33135.404693000004
0.99,par,No Repair,1.504429654965852,47906.397788999995,31843.5612
0.99,par,Write Repair,2.342181260260906,47906.397788999995,20453.753345999998
