scan_reuse_ratio,table_type,repair_type,speed_ratio_over_naive
0.0,chain,Write Repair,2.282422746028248
0.0,heap,No Repair,1.4420879529582153
0.0,heap,Read Repair,1.8874755375365928
0.0,heap,Write Repair,2.1231592468498484
0.0,par,No Repair,1.4667050208185173
0.0,par,Read Repair,2.0124707883149977
0.0,par,Write Repair,2.278908094401975
0.20,par,Write Repair,1.9564843793472948
0.20,par,Read Repair,1.7599083170734124
0.20,par,No Repair,1.274345513824627
0.20,heap,No Repair,1.2985291822442449
0.20,heap,Read Repair,1.7794625051748907
0.20,chain,Write Repair,2.0196129865883097
0.20,heap,Write Repair,1.9327259057976003
0.40,par,No Repair,1.157461601554223
0.40,par,Read Repair,1.6196196401091079
0.40,heap,Write Repair,1.8279974089589495
0.40,par,Write Repair,1.8002808431987944
0.40,heap,No Repair,1.2194106222615673
0.40,chain,Write Repair,1.8379758010529854
0.40,heap,Read Repair,1.6101266161664092
0.60,chain,Write Repair,1.453467739606966
0.60,heap,No Repair,0.8983904794742692
0.60,heap,Read Repair,1.1945094149154047
0.60,heap,Write Repair,1.3531082025031584
0.60,par,No Repair,0.9241600635881718
0.60,par,Read Repair,1.2976472857125791
0.60,par,Write Repair,1.348868830456847
0.80,par,Write Repair,1.4980284359566498
0.80,par,Read Repair,1.2932178609918334
0.80,par,No Repair,0.9267539012928088
0.80,heap,No Repair,0.9522431320429157
0.80,heap,Read Repair,1.3047262609906856
0.80,chain,Write Repair,1.4917692492426
0.80,heap,Write Repair,1.5035376011660646
0.99,par,Read Repair,0.990698710947394
0.99,chain,Write Repair,1.1017952057793021
0.99,heap,No Repair,0.7174676610049556
0.99,heap,Read Repair,1.0419703072627466
0.99,heap,Write Repair,1.1108735156294507
0.99,par,No Repair,0.6734601579059998
0.99,par,Write Repair,1.0801249974062366
