table_type,repair_type,tx_type,duration_ms
chain,Write Repair,DelSc,5486.636686
chain,Write Repair,GbgCollect,2.940637
chain,Write Repair,HistoryScan,3342.997943
chain,Write Repair,InitLoad,738.637101
chain,Write Repair,MarkTs,0.0
chain,Write Repair,Probe,802.278536
chain,Write Repair,RecentScan,4044.0512949999998
chain,Write Repair,Update,6711.588917000001
heap,No Repair,DelSc,5765.147973
heap,No Repair,GbgCollect,1180.063192
heap,No Repair,HistoryScan,4936.950025
heap,No Repair,InitLoad,757.959073
heap,No Repair,MarkTs,0.0
heap,No Repair,Probe,1128.078038
heap,No Repair,RecentScan,6068.862383
heap,No Repair,Update,135.93341
heap,Read Repair,DelSc,5766.006589
heap,Read Repair,GbgCollect,1128.148803
heap,Read Repair,HistoryScan,2908.05816
heap,Read Repair,InitLoad,754.628792
heap,Read Repair,MarkTs,0.0
heap,Read Repair,Probe,1128.611391
heap,Read Repair,RecentScan,7855.051815
heap,Read Repair,Update,136.61662
heap,Write Repair,DelSc,5767.086708
heap,Write Repair,GbgCollect,1133.519822
heap,Write Repair,HistoryScan,2751.1733130000002
heap,Write Repair,InitLoad,762.275456
heap,Write Repair,MarkTs,0.0
heap,Write Repair,Probe,1127.918265
heap,Write Repair,RecentScan,3421.896347
heap,Write Repair,Update,7021.934423999999
naive,Write Repair,DelSc,11821.683819
naive,Write Repair,GbgCollect,0.0
naive,Write Repair,HistoryScan,2640.993922
naive,Write Repair,InitLoad,816.348137
naive,Write Repair,MarkTs,6226.761232999999
naive,Write Repair,Probe,751.482312
naive,Write Repair,RecentScan,3414.679089
naive,Write Repair,Update,133.514125
par,No Repair,DelSc,8.315501
par,No Repair,GbgCollect,1214.158918
par,No Repair,HistoryScan,5033.150764
par,No Repair,InitLoad,801.638954
par,No Repair,MarkTs,53.357203
par,No Repair,Probe,1542.826249
par,No Repair,RecentScan,6196.386850999999
par,No Repair,Update,126.143157
par,Read Repair,DelSc,1185.3034639999998
par,Read Repair,GbgCollect,1152.695571
par,Read Repair,HistoryScan,2820.284125
par,Read Repair,InitLoad,801.552457
par,Read Repair,MarkTs,58.305964
par,Read Repair,Probe,1562.169612
par,Read Repair,RecentScan,8430.516458999999
par,Read Repair,Update,133.05198700000003
par,Write Repair,DelSc,8.733917000000002
par,Write Repair,GbgCollect,1143.610953
par,Write Repair,HistoryScan,2699.6334429999997
par,Write Repair,InitLoad,802.680759
par,Write Repair,MarkTs,52.63066
par,Write Repair,Probe,1516.981979
par,Write Repair,RecentScan,3344.4324949999996
par,Write Repair,Update,6974.387927999999
