table_type,repair_mode,update_pct,distribution,part_rows,lineitem_rows,update_ops,j1_alloc_ms,j1_insert_ms,join1_build_ms,join1_probe_ms,update_ms,join2_build_ms,join2_probe_ms,total_ms,join1_matched,join2_matched,join1_q14_ratio,join2_q14_ratio
Naive,Nr,1.000000,uniform,200000,75983,2000,0.000550,26.308017,26.308567,25.890346,0.000017,27.488454,24.981908,104.669292,75983,75983,16.380779,16.400676
Chain,Wr,1.000000,uniform,200000,75983,2000,2.948858,23.434062,26.382921,33.326421,4.014108,0.000000,33.072167,96.795616,75983,75983,16.380779,16.400676
Heap,Nr,1.000000,uniform,200000,75983,2000,2.319925,21.255092,23.575017,29.136142,0.507092,0.000000,34.185917,87.404167,75983,75983,16.380779,16.400676
Par,Wr,1.000000,uniform,200000,75983,2000,2.332529,23.121100,25.453629,31.068966,3.698517,0.000000,36.068017,96.289129,75983,75983,16.380779,16.400676
Naive,Nr,2.000000,uniform,200000,75983,4000,0.000775,29.252496,29.253271,30.419900,0.000021,31.745938,32.776558,124.195688,75983,75983,16.380779,16.439317
Chain,Wr,2.000000,uniform,200000,75983,4000,2.278892,21.281608,23.560500,28.710871,5.725992,0.000000,27.894475,85.891838,75983,75983,16.380779,16.439317
Heap,Nr,2.000000,uniform,200000,75983,4000,2.239675,21.134071,23.373746,28.787579,0.950200,0.000000,34.903633,88.015158,75983,75983,16.380779,16.439317
Par,Wr,2.000000,uniform,200000,75983,4000,2.361196,21.975271,24.336467,28.370258,5.587471,0.000000,36.567471,94.861666,75983,75983,16.380779,16.439317
Naive,Nr,3.000000,uniform,200000,75983,6000,0.000613,27.285938,27.286550,26.072658,0.000008,29.573550,25.955246,108.888013,75983,75983,16.380779,16.380745
Chain,Wr,3.000000,uniform,200000,75983,6000,2.266500,21.520504,23.787004,29.051400,6.802129,0.000000,28.428796,88.069329,75983,75983,16.380779,16.380745
Heap,Nr,3.000000,uniform,200000,75983,6000,2.434837,22.904242,25.339079,31.621796,1.434492,0.000000,39.204021,97.599387,75983,75983,16.380779,16.380745
Par,Wr,3.000000,uniform,200000,75983,6000,2.359508,21.545017,23.904525,27.848787,6.767025,0.000000,37.689558,96.209896,75983,75983,16.380779,16.380745
Naive,Nr,4.000000,uniform,200000,75983,8000,0.000754,28.313288,28.314042,27.967537,0.000050,30.380371,31.289383,117.951383,75983,75983,16.380779,16.419584
Chain,Wr,4.000000,uniform,200000,75983,8000,2.329892,21.290871,23.620762,28.416038,8.089763,0.000000,28.541037,88.667600,75983,75983,16.380779,16.419584
Heap,Nr,4.000000,uniform,200000,75983,8000,2.774012,26.009175,28.783188,33.040188,2.878471,0.000000,43.450788,108.152634,75983,75983,16.380779,16.419584
Par,Wr,4.000000,uniform,200000,75983,8000,2.345917,21.933725,24.279642,28.530421,8.487717,0.000000,39.513317,100.811096,75983,75983,16.380779,16.419584
Naive,Nr,5.000000,uniform,200000,75983,10000,0.000754,27.276387,27.277142,27.155167,0.000017,29.788058,28.179508,112.399892,75983,75983,16.380779,16.457183
Chain,Wr,5.000000,uniform,200000,75983,10000,2.490117,21.740492,24.230608,28.805304,8.997496,0.000000,27.843888,89.877296,75983,75983,16.380779,16.457183
Heap,Nr,5.000000,uniform,200000,75983,10000,2.600508,23.173392,25.773900,33.119121,2.448592,0.000000,40.127804,101.469417,75983,75983,16.380779,16.457183
Par,Wr,5.000000,uniform,200000,75983,10000,2.379713,21.814442,24.194154,28.277921,9.460983,0.000000,39.928967,101.862025,75983,75983,16.380779,16.457183
