table_type,repair_type,duration_ms,total_ms,delta_ratio
naive,,3567.8975269999996,35.678975269999995,0.0
ivmh,,4992.661068666667,49.92661068666667,0.0
heap,No Repair,3788.054777,37.88054777,0.0
heap,Read Repair,3464.254766666667,34.64254766666667,0.0
heap,Write Repair,3142.400945,31.42400945,0.0
chain,No Repair,2827.2577643333334,28.272577643333335,0.0
chain,Read Repair,2826.7926236666667,28.267926236666668,0.0
chain,Write Repair,2996.8256290000004,29.968256290000003,0.0
par,No Repair,3731.6613076666667,37.31661307666667,0.0
par,Read Repair,3538.8515716666666,35.38851571666667,0.0
par,Write Repair,3097.520736,30.97520736,0.0
naive,,4567.726291666667,45.67726291666667,0.05
ivmh,,5769.152443333333,57.691524433333335,0.05
heap,No Repair,3927.900109333333,39.279001093333335,0.05
heap,Read Repair,3761.058291,37.61058291,0.05
heap,Write Repair,3290.209788666667,32.90209788666667,0.05
chain,No Repair,3072.7535573333334,30.727535573333334,0.05
chain,Read Repair,3077.547861333333,30.77547861333333,0.05
chain,Write Repair,3048.7132079999997,30.487132079999995,0.05
par,No Repair,3509.9331560000005,35.09933156,0.05
par,Read Repair,3332.307528,33.32307528,0.05
par,Write Repair,2817.851831,28.17851831,0.05
naive,,5176.165527333334,51.76165527333333,0.1
ivmh,,6451.849307666666,64.51849307666666,0.1
heap,No Repair,4138.747139,41.38747139,0.1
heap,Read Repair,4052.8736253333336,40.528736253333335,0.1
heap,Write Repair,3549.2216123333333,35.492216123333336,0.1
chain,No Repair,3137.505874666667,31.375058746666667,0.1
chain,Read Repair,3218.211123333333,32.18211123333333,0.1
chain,Write Repair,3203.743225,32.03743225,0.1
par,No Repair,3400.072793,34.00072793,0.1
par,Read Repair,3451.8552043333334,34.51855204333334,0.1
par,Write Repair,2747.589221333333,27.47589221333333,0.1
naive,,6220.4971909999995,62.20497191,0.15
ivmh,,7421.720351666667,74.21720351666667,0.15
heap,No Repair,6904.162281,69.04162280999999,0.15
heap,Read Repair,6705.360456333333,67.05360456333332,0.15
heap,Write Repair,5340.383386666666,53.403833866666666,0.15
chain,No Repair,3997.7573596666666,39.977573596666666,0.15
chain,Read Repair,6177.8502376666665,61.778502376666665,0.15
chain,Write Repair,4063.7430666666664,40.63743066666667,0.15
par,No Repair,3287.428556333333,32.87428556333333,0.15
par,Read Repair,3171.6243073333335,31.716243073333334,0.15
par,Write Repair,3053.7569063333335,30.537569063333336,0.15
naive,,6854.857752333333,68.54857752333334,0.2
ivmh,,8196.332376,81.96332376000001,0.2
heap,No Repair,4749.67929,47.4967929,0.2
heap,Read Repair,4542.566929,45.425669289999995,0.2
heap,Write Repair,4233.180110333334,42.33180110333333,0.2
chain,No Repair,3819.7228033333336,38.19722803333334,0.2
chain,Read Repair,3742.313557666667,37.42313557666667,0.2
chain,Write Repair,3750.797763666667,37.507977636666666,0.2
par,No Repair,2959.460862,29.59460862,0.2
par,Read Repair,3005.196960333333,30.051969603333333,0.2
par,Write Repair,2465.375915666667,24.65375915666667,0.2
naive,,7846.485791666666,78.46485791666666,0.25
ivmh,,8899.666709333333,88.99666709333333,0.25
heap,No Repair,4921.282806333334,49.21282806333333,0.25
heap,Read Repair,4863.236149333334,48.632361493333335,0.25
heap,Write Repair,4495.758010666667,44.957580106666676,0.25
chain,No Repair,3892.8910579999997,38.92891058,0.25
chain,Read Repair,3875.3034583333333,38.75303458333333,0.25
chain,Write Repair,3868.0358033333337,38.680358033333334,0.25
par,No Repair,2698.1186926666664,26.981186926666666,0.25
par,Read Repair,2868.390928333333,28.68390928333333,0.25
par,Write Repair,2280.0452623333335,22.800452623333335,0.25
