table_type,repair_type,duration_ms,total_ms,reuse_ratio
naive,,7245.988540666666,72.45988540666666,0.0
ivmh,,8922.218433666667,89.22218433666667,0.0
heap,No Repair,4681.242111333333,46.81242111333333,0.0
heap,Read Repair,4559.905791333334,45.59905791333333,0.0
heap,Write Repair,4071.920209666667,40.71920209666667,0.0
chain,No Repair,3646.485612666667,36.46485612666667,0.0
chain,Read Repair,3669.8015689999997,36.69801569,0.0
chain,Write Repair,3666.4295836666665,36.66429583666667,0.0
par,No Repair,3208.053611,32.08053611,0.0
par,Read Repair,3335.629583666667,33.35629583666667,0.0
par,Write Repair,2696.661999,26.966619989999998,0.0
naive,,7036.428488333334,70.36428488333334,0.2
ivmh,,8179.239515,81.79239515,0.2
heap,No Repair,4756.678665333333,47.56678665333333,0.2
heap,Read Repair,4803.462345666667,48.034623456666665,0.2
heap,Write Repair,4152.636001666667,41.526360016666665,0.2
chain,No Repair,3729.963207666666,37.29963207666666,0.2
chain,Read Repair,3684.7084686666662,36.84708468666666,0.2
chain,Write Repair,3672.3710843333333,36.723710843333336,0.2
par,No Repair,3445.9165396666667,34.45916539666667,0.2
par,Read Repair,3369.337501666667,33.69337501666667,0.2
par,Write Repair,3603.255721666667,36.03255721666667,0.2
naive,,13891.834747333332,138.9183474733333,0.4
ivmh,,13477.802944333334,134.77802944333334,0.4
heap,No Repair,8187.0339730000005,81.87033973000001,0.4
heap,Read Repair,12257.353876666668,122.57353876666667,0.4
heap,Write Repair,5266.997054666666,52.66997054666666,0.4
chain,No Repair,3710.130982,37.101309820000004,0.4
chain,Read Repair,4426.224876,44.262248760000006,0.4
chain,Write Repair,3724.885247,37.24885247,0.4
par,No Repair,4125.3590976666665,41.253590976666665,0.4
par,Read Repair,4403.037321333333,44.030373213333334,0.4
par,Write Repair,2914.3016373333335,29.143016373333335,0.4
naive,,6521.215419333334,65.21215419333333,0.6
ivmh,,7684.963624,76.84963624,0.6
heap,No Repair,5195.087805333334,51.950878053333334,0.6
heap,Read Repair,4671.4459480000005,46.71445948,0.6
heap,Write Repair,4728.833777666667,47.288337776666665,0.6
chain,No Repair,3943.8675229999994,39.438675229999994,0.6
chain,Read Repair,3906.3919599999995,39.06391959999999,0.6
chain,Write Repair,4060.671387,40.60671387,0.6
par,No Repair,3408.107098,34.08107098,0.6
par,Read Repair,3279.3791516666665,32.793791516666666,0.6
par,Write Repair,2805.380012,28.053800120000002,0.6
naive,,5826.348597333334,58.26348597333334,0.8
ivmh,,8088.6409853333325,80.88640985333332,0.8
heap,No Repair,5380.565016333333,53.80565016333333,0.8
heap,Read Repair,4756.663195666667,47.56663195666667,0.8
heap,Write Repair,4080.1918023333333,40.801918023333336,0.8
chain,No Repair,4432.582126666667,44.32582126666667,0.8
chain,Read Repair,4327.069483,43.270694830000004,0.8
chain,Write Repair,4006.8502790000002,40.068502790000004,0.8
par,No Repair,3516.4862793333327,35.16486279333333,0.8
par,Read Repair,3348.4931380000003,33.484931380000006,0.8
par,Write Repair,2892.9755576666666,28.929755576666665,0.8
naive,,7143.791943,71.43791943000001,1.0
ivmh,,8039.3483596666665,80.39348359666667,1.0
heap,No Repair,5428.8976796666675,54.288976796666674,1.0
heap,Read Repair,4459.644278,44.59644278,1.0
heap,Write Repair,5126.6160973333335,51.266160973333335,1.0
chain,No Repair,4721.822866666666,47.21822866666666,1.0
chain,Read Repair,4138.670003333334,41.386700033333334,1.0
chain,Write Repair,4233.790705333334,42.33790705333334,1.0
par,No Repair,3730.0442476666667,37.30044247666667,1.0
par,Read Repair,3180.7799403333333,31.807799403333334,1.0
par,Write Repair,2831.4851133333336,28.314851133333335,1.0
