table_type,repair_type,duration_ms,total_ms,update_ratio
naive,,6359.200360333333,63.59200360333333,0.01
ivmh,,7416.177447666666,74.16177447666666,0.01
heap,No Repair,4696.273836333333,46.96273836333333,0.01
heap,Read Repair,4678.707387333333,46.78707387333333,0.01
heap,Write Repair,4195.041164666666,41.95041164666666,0.01
chain,No Repair,3729.6719026666665,37.296719026666665,0.01
chain,Read Repair,3592.0393473333334,35.920393473333334,0.01
chain,Write Repair,3451.353874666667,34.51353874666667,0.01
par,No Repair,3161.6543626666667,31.616543626666665,0.01
par,Read Repair,3227.9292236666665,32.27929223666666,0.01
par,Write Repair,2603.0278343333334,26.030278343333336,0.01
naive,,5856.447263666666,58.56447263666666,0.05
ivmh,,8671.369293999998,86.71369293999999,0.05
heap,No Repair,5281.934345999999,52.81934345999999,0.05
heap,Read Repair,5573.003335,55.73003335000001,0.05
heap,Write Repair,4689.731609666666,46.897316096666664,0.05
chain,No Repair,4411.1129169999995,44.11112917,0.05
chain,Read Repair,4888.393442333333,48.88393442333333,0.05
chain,Write Repair,4419.023649666667,44.190236496666664,0.05
par,No Repair,9354.496348333332,93.54496348333332,0.05
par,Read Repair,9088.80403,90.8880403,0.05
par,Write Repair,9278.247831333334,92.78247831333334,0.05
naive,,14863.840487,148.63840487,0.1
ivmh,,12061.720182,120.61720181999999,0.1
heap,No Repair,6453.6545553333335,64.53654555333334,0.1
heap,Read Repair,5724.086222666668,57.24086222666668,0.1
heap,Write Repair,5725.874889333333,57.25874889333333,0.1
chain,No Repair,4169.77186,41.6977186,0.1
chain,Read Repair,4285.184748,42.851847479999996,0.1
chain,Write Repair,4252.028014666666,42.520280146666664,0.1
par,No Repair,4155.431250333334,41.55431250333334,0.1
par,Read Repair,4036.2113090000003,40.36211309,0.1
par,Write Repair,3559.164421666667,35.591644216666666,0.1
naive,,6556.389113333334,65.56389113333334,0.15
ivmh,,13116.614903333333,131.16614903333334,0.15
heap,No Repair,9145.459057333333,91.45459057333333,0.15
heap,Read Repair,5842.491150333332,58.42491150333333,0.15
heap,Write Repair,5502.719362666667,55.027193626666666,0.15
chain,No Repair,4624.320874333333,46.243208743333334,0.15
chain,Read Repair,4619.624099666667,46.19624099666667,0.15
chain,Write Repair,5268.497502333333,52.68497502333333,0.15
par,No Repair,4791.0835953333335,47.91083595333333,0.15
par,Read Repair,4258.796723333334,42.58796723333334,0.15
par,Write Repair,3753.3724186666664,37.53372418666666,0.15
naive,,8230.927142333334,82.30927142333334,0.2
ivmh,,14064.018543999999,140.64018543999998,0.2
heap,No Repair,7179.4459990000005,71.79445999000001,0.2
heap,Read Repair,6056.459364666666,60.564593646666665,0.2
heap,Write Repair,7244.830875333333,72.44830875333334,0.2
chain,No Repair,4916.266955666667,49.16266955666667,0.2
chain,Read Repair,5229.306694666667,52.29306694666667,0.2
chain,Write Repair,5009.872705666666,50.09872705666666,0.2
par,No Repair,5583.637610333334,55.83637610333334,0.2
par,Read Repair,5120.078168,51.20078168,0.2
par,Write Repair,4395.780834333334,43.95780834333333,0.2
