table_type,repair_type,duration_ms,total_ms,delta_ratio
chain,No Repair,1300.395046,13.00395046,0.0
chain,Read Repair,1278.683959,12.78683959,0.0
chain,Write Repair,1284.355325,12.84355325,0.0
heap,No Repair,1817.534456,18.17534456,0.0
heap,Read Repair,1663.713542,16.63713542,0.0
heap,Write Repair,1310.890672,13.10890672,0.0
ivmh,,1352.713501,13.52713501,0.0
naive,,7642.945171,76.42945171000001,0.0
par,No Repair,1897.406627,18.97406627,0.0
par,Read Repair,1571.736997,15.71736997,0.0
par,Write Repair,1361.887167,13.61887167,0.0
chain,No Repair,1273.834957,12.73834957,0.01
chain,Read Repair,1239.107378,12.39107378,0.01
chain,Write Repair,1292.515297,12.92515297,0.01
heap,No Repair,1776.013834,17.76013834,0.01
heap,Read Repair,1564.0528669999999,15.640528669999998,0.01
heap,Write Repair,1684.3376250000001,16.843376250000002,0.01
ivmh,,1363.104706,13.63104706,0.01
naive,,6345.250046,63.45250046,0.01
par,No Repair,1900.013084,19.00013084,0.01
par,Read Repair,1664.827541,16.64827541,0.01
par,Write Repair,1448.234796,14.48234796,0.01
chain,No Repair,1298.677082,12.986770819999998,0.02
chain,Read Repair,1256.186752,12.56186752,0.02
chain,Write Repair,1251.837172,12.51837172,0.02
heap,No Repair,1902.899719,19.02899719,0.02
heap,Read Repair,1717.676833,17.17676833,0.02
heap,Write Repair,1347.2618400000001,13.472618400000002,0.02
ivmh,,1575.664372,15.75664372,0.02
naive,,6973.924293,69.73924293,0.02
par,No Repair,1728.987585,17.28987585,0.02
par,Read Repair,1506.46772,15.0646772,0.02
par,Write Repair,1251.892116,12.51892116,0.02
