table_type,repair_type,duration_ms,total_ms,history_ratio
chain,No Repair,1248.143088,12.48143088,0.0
chain,Read Repair,1303.770004,13.037700039999999,0.0
chain,Write Repair,1432.214126,14.32214126,0.0
heap,No Repair,1802.484078,18.024840779999998,0.0
heap,Read Repair,1596.122541,15.961225409999999,0.0
heap,Write Repair,1274.523958,12.74523958,0.0
ivmh,,1380.702795,13.807027949999998,0.0
naive,,6105.234458,61.052344579999996,0.0
par,No Repair,1718.821671,17.18821671,0.0
par,Read Repair,1523.807422,15.238074220000001,0.0
par,Write Repair,1278.70217,12.7870217,0.0
chain,No Repair,1240.809333,12.40809333,0.01
chain,Read Repair,1267.588462,12.67588462,0.01
chain,Write Repair,1238.971786,12.389717860000001,0.01
heap,No Repair,1889.471415,18.89471415,0.01
heap,Read Repair,1662.584661,16.62584661,0.01
heap,Write Repair,1315.0334129999999,13.15033413,0.01
ivmh,,1325.98971,13.2598971,0.01
naive,,5667.159826,56.67159826,0.01
par,No Repair,1688.251336,16.88251336,0.01
par,Read Repair,1509.832092,15.09832092,0.01
par,Write Repair,1266.202581,12.66202581,0.01
chain,No Repair,1276.648373,12.76648373,0.02
chain,Read Repair,1359.669333,13.59669333,0.02
chain,Write Repair,1266.494667,12.664946669999999,0.02
heap,No Repair,1774.234582,17.74234582,0.02
heap,Read Repair,1528.667752,15.286677520000001,0.02
heap,Write Repair,1297.689084,12.976890840000001,0.02
ivmh,,1324.435708,13.24435708,0.02
naive,,5650.914383,56.50914383,0.02
par,No Repair,1762.899759,17.628997589999997,0.02
par,Read Repair,1588.745875,15.88745875,0.02
par,Write Repair,1300.578044,13.00578044,0.02
