table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,table_label,history_scans,component
naive,No Repair,0,0,InitLoad,10.50775,210000.0,,,,,0,SNAP,0,InitLoad
naive,No Repair,1,1,MarkTs,210.094708,,1.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,1,1,RecentScan,64.662958,,1.0,,,,0,SNAP,0,RecentScan
naive,No Repair,2,2,MarkTs,294.245666,,2.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,2,2,RecentScan,107.635542,,2.0,,,,0,SNAP,0,RecentScan
naive,No Repair,3,3,MarkTs,208.449333,,3.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,3,3,RecentScan,190.919208,,3.0,,,,0,SNAP,0,RecentScan
naive,No Repair,4,4,MarkTs,278.852416,,4.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,4,4,RecentScan,71.226375,,4.0,,,,0,SNAP,0,RecentScan
naive,No Repair,5,5,MarkTs,203.892042,,5.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,5,5,RecentScan,70.333833,,5.0,,,,0,SNAP,0,RecentScan
naive,No Repair,6,6,MarkTs,0.0,,6.0,,,,0,SNAP,0,
naive,No Repair,7,7,Update,0.0,21.0,,,,,0,SNAP,0,Update
naive,No Repair,8,8,MarkTs,202.556208,,8.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,8,8,RecentScan,74.108333,,8.0,,,,0,SNAP,0,RecentScan
naive,No Repair,9,9,MarkTs,191.286458,,9.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,9,9,RecentScan,68.689708,,9.0,,,,0,SNAP,0,RecentScan
naive,No Repair,10,10,MarkTs,190.737584,,10.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,10,10,RecentScan,70.82725,,10.0,,,,0,SNAP,0,RecentScan
naive,No Repair,11,11,MarkTs,221.758416,,11.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,11,11,RecentScan,60.76875,,11.0,,,,0,SNAP,0,RecentScan
naive,No Repair,12,12,MarkTs,203.310125,,12.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,12,12,RecentScan,66.303083,,12.0,,,,0,SNAP,0,RecentScan
naive,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,SNAP,0,
naive,No Repair,14,14,Update,0.0,21.0,,,,,0,SNAP,0,Update
naive,No Repair,15,15,MarkTs,185.823584,,15.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,15,15,RecentScan,70.206292,,15.0,,,,0,SNAP,0,RecentScan
naive,No Repair,16,16,MarkTs,205.315875,,16.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,16,16,RecentScan,68.664208,,16.0,,,,0,SNAP,0,RecentScan
naive,No Repair,17,17,MarkTs,207.237959,,17.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,17,17,RecentScan,67.112167,,17.0,,,,0,SNAP,0,RecentScan
naive,No Repair,18,18,MarkTs,221.633542,,18.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,18,18,RecentScan,75.771542,,18.0,,,,0,SNAP,0,RecentScan
naive,No Repair,19,19,MarkTs,200.647416,,19.0,,,RecentScan,0,SNAP,0,BuildSnap
naive,No Repair,19,19,RecentScan,68.138791,,19.0,,,,0,SNAP,0,RecentScan
naive,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,SNAP,0,
