table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,table_label,history_scans,component
ivmh,No Repair,0,0,InitLoad,13.216834,60000.0,,,,,0,IVMH,0,InitLoad
ivmh,No Repair,1,1,RecentScan,20.173791,,1.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,2,2,RecentScan,20.548,,2.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,3,3,RecentScan,18.356666,,3.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,4,4,RecentScan,18.057042,,4.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,5,5,RecentScan,18.151542,,5.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0,,6.0,,,,0,IVMH,0,
ivmh,No Repair,7,7,Update,0.015708,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,8,8,RecentScan,14.631042,,8.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,9,9,RecentScan,15.505041,,9.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,10,10,RecentScan,15.60925,,10.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,11,11,RecentScan,15.901875,,11.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,12,12,RecentScan,19.10025,,12.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,IVMH,0,
ivmh,No Repair,14,14,Update,0.012666,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,15,15,RecentScan,15.753167,,15.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,16,16,RecentScan,15.916875,,16.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,17,17,RecentScan,15.94325,,17.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,18,18,RecentScan,18.355958,,18.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,19,19,RecentScan,18.321209,,19.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,IVMH,0,
ivmh,No Repair,21,21,Update,0.015,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,22,22,RecentScan,14.006209,,22.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,23,23,RecentScan,14.586292,,23.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,24,24,RecentScan,15.888209,,24.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,25,25,RecentScan,16.043375,,25.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,26,26,RecentScan,16.237083,,26.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,27,27,MarkTs,0.010709,,27.0,,,,0,IVMH,0,
ivmh,No Repair,28,28,Update,0.019,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,29,29,RecentScan,15.569833,,29.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,30,30,RecentScan,15.838333,,30.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,31,31,RecentScan,15.829875,,31.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,32,32,RecentScan,15.31425,,32.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,33,33,RecentScan,15.555667,,33.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,IVMH,0,
ivmh,No Repair,35,35,Update,0.014042,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,0,0,InitLoad,13.076208,60000.0,,,,,1,IVMH,0,InitLoad
ivmh,No Repair,1,1,RecentScan,18.047375,,1.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,2,2,RecentScan,17.588167,,2.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,3,3,RecentScan,15.765166,,3.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,4,4,RecentScan,15.611125,,4.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,5,5,RecentScan,17.055708,,5.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0,,6.0,,,,1,IVMH,0,
ivmh,No Repair,7,7,Update,0.02725,6.0,,,,,1,IVMH,0,Update
ivmh,No Repair,8,8,RecentScan,16.342083,,8.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,9,9,RecentScan,14.654459,,9.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,10,10,RecentScan,15.722708,,10.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,11,11,RecentScan,16.58925,,11.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,12,12,RecentScan,16.494292,,12.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,1,IVMH,0,
ivmh,No Repair,14,14,Update,0.022417000000000003,6.0,,,,,1,IVMH,0,Update
ivmh,No Repair,15,15,RecentScan,17.702583,,15.0,,,,1,IVMH,0,RecentScan
