table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,history_scans,component
ivmh,No Repair,0,0,InitLoad,16.575791,60000.0,,,,,0,0,BuildCUR
ivmh,No Repair,1,1,RecentScan,15.071625,,1.0,,,,0,0,RecentScan
ivmh,No Repair,2,2,RecentScan,15.122917,,2.0,,,,0,0,RecentScan
ivmh,No Repair,3,3,RecentScan,16.858708,,3.0,,,,0,0,RecentScan
ivmh,No Repair,4,4,RecentScan,19.170875,,4.0,,,,0,0,RecentScan
ivmh,No Repair,5,5,RecentScan,16.724208,,5.0,,,,0,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001125,,6.0,,,,0,0,
ivmh,No Repair,7,7,Update,0.026334,6.0,,,,,0,0,Update
ivmh,No Repair,8,8,RecentScan,14.494541,,8.0,,,,0,0,RecentScan
ivmh,No Repair,9,9,RecentScan,18.293416,,9.0,,,,0,0,RecentScan
ivmh,No Repair,10,10,RecentScan,16.187542,,10.0,,,,0,0,RecentScan
ivmh,No Repair,11,11,RecentScan,16.016917,,11.0,,,,0,0,RecentScan
ivmh,No Repair,12,12,RecentScan,17.098709,,12.0,,,,0,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,0,
ivmh,No Repair,14,14,Update,0.028082999999999997,6.0,,,,,0,0,Update
ivmh,No Repair,15,15,RecentScan,15.362708,,15.0,,,,0,0,RecentScan
ivmh,No Repair,16,16,RecentScan,17.89325,,16.0,,,,0,0,RecentScan
ivmh,No Repair,17,17,RecentScan,16.200709,,17.0,,,,0,0,RecentScan
ivmh,No Repair,18,18,RecentScan,17.133334,,18.0,,,,0,0,RecentScan
ivmh,No Repair,19,19,RecentScan,17.460291,,19.0,,,,0,0,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,0,
ivmh,No Repair,21,21,Update,0.024042,6.0,,,,,0,0,Update
ivmh,No Repair,22,22,RecentScan,16.169791,,22.0,,,,0,0,RecentScan
ivmh,No Repair,23,23,RecentScan,15.611917,,23.0,,,,0,0,RecentScan
ivmh,No Repair,24,24,RecentScan,20.447541,,24.0,,,,0,0,RecentScan
ivmh,No Repair,25,25,RecentScan,15.511709,,25.0,,,,0,0,RecentScan
ivmh,No Repair,26,26,RecentScan,16.134125,,26.0,,,,0,0,RecentScan
ivmh,No Repair,27,27,MarkTs,0.002041,,27.0,,,,0,0,
ivmh,No Repair,28,28,Update,0.018917000000000003,6.0,,,,,0,0,Update
ivmh,No Repair,29,29,RecentScan,19.500959,,29.0,,,,0,0,RecentScan
ivmh,No Repair,30,30,RecentScan,17.8145,,30.0,,,,0,0,RecentScan
ivmh,No Repair,31,31,RecentScan,19.174458,,31.0,,,,0,0,RecentScan
ivmh,No Repair,32,32,RecentScan,18.547209,,32.0,,,,0,0,RecentScan
ivmh,No Repair,33,33,RecentScan,21.622667,,33.0,,,,0,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,0,
ivmh,No Repair,35,35,Update,0.017041,6.0,,,,,0,0,Update
ivmh,No Repair,0,0,InitLoad,17.611834,60000.0,,,,,1,0,BuildCUR
ivmh,No Repair,1,1,RecentScan,28.874333,,1.0,,,,1,0,RecentScan
ivmh,No Repair,2,2,RecentScan,22.518625,,2.0,,,,1,0,RecentScan
ivmh,No Repair,3,3,RecentScan,20.758,,3.0,,,,1,0,RecentScan
ivmh,No Repair,4,4,RecentScan,18.419291,,4.0,,,,1,0,RecentScan
ivmh,No Repair,5,5,RecentScan,21.19575,,5.0,,,,1,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001375,,6.0,,,,1,0,
ivmh,No Repair,7,7,Update,0.026292000000000003,6.0,,,,,1,0,Update
ivmh,No Repair,8,8,RecentScan,28.6245,,8.0,,,,1,0,RecentScan
ivmh,No Repair,9,9,RecentScan,19.772208,,9.0,,,,1,0,RecentScan
ivmh,No Repair,10,10,RecentScan,20.134459,,10.0,,,,1,0,RecentScan
ivmh,No Repair,11,11,RecentScan,19.988458,,11.0,,,,1,0,RecentScan
ivmh,No Repair,12,12,RecentScan,20.369209,,12.0,,,,1,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,1,0,
ivmh,No Repair,14,14,Update,0.018083,6.0,,,,,1,0,Update
ivmh,No Repair,15,15,RecentScan,20.762667,,15.0,,,,1,0,RecentScan
ivmh,No Repair,16,16,RecentScan,25.345209,,16.0,,,,1,0,RecentScan
ivmh,No Repair,17,17,RecentScan,19.78575,,17.0,,,,1,0,RecentScan
ivmh,No Repair,18,18,RecentScan,17.769334,,18.0,,,,1,0,RecentScan
ivmh,No Repair,19,19,RecentScan,21.739583,,19.0,,,,1,0,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,1,0,
ivmh,No Repair,21,21,Update,0.021917000000000002,6.0,,,,,1,0,Update
ivmh,No Repair,22,22,RecentScan,17.895292,,22.0,,,,1,0,RecentScan
ivmh,No Repair,23,23,RecentScan,17.458792,,23.0,,,,1,0,RecentScan
ivmh,No Repair,24,24,RecentScan,18.774125,,24.0,,,,1,0,RecentScan
ivmh,No Repair,25,25,RecentScan,21.438584,,25.0,,,,1,0,RecentScan
ivmh,No Repair,26,26,RecentScan,19.561959,,26.0,,,,1,0,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001792,,27.0,,,,1,0,
ivmh,No Repair,28,28,Update,0.034167,6.0,,,,,1,0,Update
ivmh,No Repair,29,29,RecentScan,19.136083,,29.0,,,,1,0,RecentScan
ivmh,No Repair,30,30,RecentScan,15.959416,,30.0,,,,1,0,RecentScan
ivmh,No Repair,31,31,RecentScan,19.446834,,31.0,,,,1,0,RecentScan
ivmh,No Repair,32,32,RecentScan,19.631042,,32.0,,,,1,0,RecentScan
ivmh,No Repair,33,33,RecentScan,16.377875,,33.0,,,,1,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,0,
ivmh,No Repair,35,35,Update,0.01225,6.0,,,,,1,0,Update
ivmh,No Repair,0,0,InitLoad,16.970166,60000.0,,,,,0,1,BuildCUR
ivmh,No Repair,1,1,RecentScan,19.434875,,1.0,,,,0,1,RecentScan
ivmh,No Repair,2,2,RecentScan,17.295917,,2.0,,,,0,1,RecentScan
ivmh,No Repair,3,3,RecentScan,19.834291,,3.0,,,,0,1,RecentScan
ivmh,No Repair,4,4,RecentScan,19.376375,,4.0,,,,0,1,RecentScan
ivmh,No Repair,5,5,RecentScan,30.189083,,5.0,,,,0,1,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001542,,6.0,,,,0,1,
