table_type,repair_type,duration_ms,total_ms,delta_ratio,delta_pct
ivmh,,3380.087373,25.60672252272727,0.0,0.0
heap,No Repair,4543.73404,34.422227575757574,0.0,0.0
heap,Read Repair,3738.681207,28.32334247727273,0.0,0.0
heap,Write Repair,3145.160639,23.82697453787879,0.0,0.0
chain,No Repair,3160.21755,23.941042045454545,0.0,0.0
chain,Read Repair,3091.09092,23.417355454545454,0.0,0.0
chain,Write Repair,3084.568741,23.36794500757576,0.0,0.0
par,No Repair,4167.242631,31.570019931818184,0.0,0.0
par,Read Repair,3866.838532,29.294231303030305,0.0,0.0
par,Write Repair,3223.530292,24.42068403030303,0.0,0.0
ivmh,,3367.180868,25.50894596969697,0.01,1.0
heap,No Repair,4241.85471,32.13526295454545,0.01,1.0
heap,Read Repair,3790.844,28.718515151515152,0.01,1.0
heap,Write Repair,3119.119956,23.629696636363636,0.01,1.0
chain,No Repair,3106.41571,23.53345234848485,0.01,1.0
chain,Read Repair,3200.578538,24.246807106060608,0.01,1.0
chain,Write Repair,3374.507123,25.564447901515152,0.01,1.0
par,No Repair,4085.579124,30.951356999999998,0.01,1.0
par,Read Repair,3766.256965,28.532249734848484,0.01,1.0
par,Write Repair,3202.276958,24.259673924242424,0.01,1.0
ivmh,,3626.015296,27.46981284848485,0.02,2.0
heap,No Repair,4178.345081,31.654129401515153,0.02,2.0
heap,Read Repair,3856.634114,29.216925106060607,0.02,2.0
heap,Write Repair,3225.461121,24.43531152272727,0.02,2.0
chain,No Repair,3184.811498,24.127359833333333,0.02,2.0
chain,Read Repair,3351.817243,25.39255487121212,0.02,2.0
chain,Write Repair,3256.171091,24.667962810606063,0.02,2.0
par,No Repair,4121.981168,31.22713006060606,0.02,2.0
par,Read Repair,3737.311911,28.31296902272727,0.02,2.0
par,Write Repair,3142.292338,23.805244984848486,0.02,2.0
ivmh,,5172.431953,39.18509055303031,0.1,10.0
heap,No Repair,4315.570007,32.69371217424243,0.1,10.0
heap,Read Repair,3747.635875,28.39118087121212,0.1,10.0
heap,Write Repair,3479.939716,26.363179666666667,0.1,10.0
chain,No Repair,3188.355961,24.154211825757578,0.1,10.0
chain,Read Repair,3365.487802,25.496119712121214,0.1,10.0
chain,Write Repair,3414.061996,25.86410603030303,0.1,10.0
par,No Repair,3732.469411,28.27628341666667,0.1,10.0
par,Read Repair,3736.004665,28.303065643939394,0.1,10.0
par,Write Repair,2980.946885,22.582930946969697,0.1,10.0
