table_type,repair_type,duration_ms,total_ms,history_ratio,history_pct
ivmh,,3112.352958,23.5784315,0.0,0.0
heap,No Repair,4162.493171,31.534039174242423,0.0,0.0
heap,Read Repair,3607.00584,27.325801818181816,0.0,0.0
heap,Write Repair,3113.109871,23.58416568939394,0.0,0.0
chain,No Repair,3222.067918,24.409605439393943,0.0,0.0
chain,Read Repair,3228.777501,24.460435613636363,0.0,0.0
chain,Write Repair,3247.542881,24.60259758333333,0.0,0.0
par,No Repair,4160.703747,31.52048293181818,0.0,0.0
par,Read Repair,3639.746377,27.57383618939394,0.0,0.0
par,Write Repair,3170.738735,24.02074799242424,0.0,0.0
ivmh,,3224.604582,24.42882259090909,0.01,1.0
heap,No Repair,4312.508004,32.67051518181818,0.01,1.0
heap,Read Repair,3823.612009,28.966757643939392,0.01,1.0
heap,Write Repair,3239.026705,24.53808109848485,0.01,1.0
chain,No Repair,3148.886795,23.855202992424243,0.01,1.0
chain,Read Repair,3238.158093,24.531500704545454,0.01,1.0
chain,Write Repair,3148.735374,23.85405586363636,0.01,1.0
par,No Repair,4158.502341,31.503805613636366,0.01,1.0
par,Read Repair,3647.186831,27.630203265151515,0.01,1.0
par,Write Repair,3118.341627,23.623800204545454,0.01,1.0
ivmh,,3177.742848,24.073809454545454,0.02,2.0
heap,No Repair,4257.195006,32.25147731818182,0.02,2.0
heap,Read Repair,3753.56487,28.436097500000002,0.02,2.0
heap,Write Repair,3236.322801,24.517596977272724,0.02,2.0
chain,No Repair,3179.378573,24.08620131060606,0.02,2.0
chain,Read Repair,3267.475204,24.75360003030303,0.02,2.0
chain,Write Repair,3235.096509,24.508306886363638,0.02,2.0
par,No Repair,4149.312121,31.434182734848484,0.02,2.0
par,Read Repair,3625.813999,27.46828787121212,0.02,2.0
par,Write Repair,3077.794081,23.316621825757576,0.02,2.0
ivmh,,3161.953248,23.95419127272727,0.1,10.0
heap,No Repair,4295.182501,32.53926137121212,0.1,10.0
heap,Read Repair,3743.646501,28.360958340909093,0.1,10.0
heap,Write Repair,3181.697127,24.103766113636365,0.1,10.0
chain,No Repair,3155.453547,23.904951113636365,0.1,10.0
chain,Read Repair,3182.313963,24.108439113636365,0.1,10.0
chain,Write Repair,3231.938455,24.484382234848486,0.1,10.0
par,No Repair,4196.256672,31.789823272727276,0.1,10.0
par,Read Repair,3615.566462,27.390655015151513,0.1,10.0
par,Write Repair,3094.176837,23.440733613636365,0.1,10.0
