table_type,repair_type,duration_ms,total_ms,delta_ratio
naive,No Repair,8493.898744,84.93898744,0.0
ivmh,No Repair,1620.8884560000001,16.20888456,0.0
chain,No Repair,1674.096791,16.74096791,0.0
chain,Read Repair,1580.207827,15.802078269999999,0.0
chain,Write Repair,1563.49742,15.634974199999998,0.0
par,No Repair,2261.179416,22.61179416,0.0
par,Read Repair,1651.944878,16.51944878,0.0
par,Write Repair,1617.335379,16.17335379,0.0
naive,No Repair,8354.672005,83.54672005,0.01
ivmh,No Repair,1879.486546,18.79486546,0.01
chain,No Repair,1644.986251,16.44986251,0.01
chain,Read Repair,1540.524163,15.40524163,0.01
chain,Write Repair,1645.138503,16.451385029999997,0.01
par,No Repair,2136.6880419999998,21.366880419999998,0.01
par,Read Repair,1719.256494,17.19256494,0.01
par,Write Repair,1666.036459,16.66036459,0.01
naive,No Repair,8080.771959,80.80771958999999,0.02
ivmh,No Repair,1710.278253,17.10278253,0.02
chain,No Repair,1418.629165,14.186291650000001,0.02
chain,Read Repair,1437.379498,14.37379498,0.02
chain,Write Repair,1558.430081,15.58430081,0.02
par,No Repair,2119.930582,21.19930582,0.02
par,Read Repair,1722.423001,17.22423001,0.02
par,Write Repair,1625.872166,16.258721660000003,0.02
