table_type,repair_type,duration_ms,total_ms,history_ratio
naive,No Repair,8107.725914,81.07725914,0.0
ivmh,No Repair,1605.27167,16.0527167,0.0
chain,No Repair,1493.405123,14.93405123,0.0
chain,Read Repair,1496.426706,14.96426706,0.0
chain,Write Repair,1546.900124,15.46900124,0.0
par,No Repair,2105.087088,21.05087088,0.0
par,Read Repair,1633.273626,16.33273626,0.0
par,Write Repair,1516.775081,15.16775081,0.0
naive,No Repair,8667.674331,86.67674331,0.01
ivmh,No Repair,1712.915041,17.12915041,0.01
chain,No Repair,1584.778881,15.847788809999999,0.01
chain,Read Repair,1617.132376,16.17132376,0.01
chain,Write Repair,1490.835082,14.90835082,0.01
par,No Repair,2054.109539,20.54109539,0.01
par,Read Repair,1546.322672,15.46322672,0.01
par,Write Repair,1510.469953,15.10469953,0.01
naive,No Repair,8378.710626,83.78710626,0.02
ivmh,No Repair,1735.914459,17.35914459,0.02
chain,No Repair,1592.624456,15.92624456,0.02
chain,Read Repair,1660.803458,16.60803458,0.02
chain,Write Repair,1631.331081,16.31331081,0.02
par,No Repair,2029.295124,20.29295124,0.02
par,Read Repair,1527.906463,15.27906463,0.02
par,Write Repair,1536.058749,15.36058749,0.02
