trial,idx,tx_id,tx_type,read_ts,from_ts,to_ts,build_reason,duration_ms
0,0,0,InitLoad,,,,,23.846917
0,1,1,BuildSnap,1.0,,,,0.0
0,2,2,Update,,,,,0.062625
0,3,3,BuildSnap,3.0,,,,0.0
0,4,4,RecentScan,4.0,,,,27.260583
0,5,5,Update,,,,,0.042167
0,6,6,RecentScan,6.0,,,,25.617584
0,7,7,Update,,,,,0.037166
0,8,8,BuildSnap,8.0,,,,0.0
0,9,9,RecentScan,9.0,,,,26.939792
0,10,10,Update,,,,,0.023292
0,11,11,RecentScan,11.0,,,,24.891166
0,12,12,RecentScan,12.0,,,,26.284834
0,13,13,Probe,13.0,,,,37.945333
0,14,14,GbgCollect,1.0,,,,0.0
0,15,15,Update,,,,,0.026791
0,16,16,BuildSnap,16.0,,,,0.0
0,17,17,Update,,,,,0.014083
0,18,18,Probe,18.0,,,,43.327083
0,19,19,RecentScan,19.0,,,,26.486833
0,20,20,RecentScan,20.0,,,,23.95725
0,21,21,RecentScan,21.0,,,,23.136333
0,22,22,Probe,22.0,,,,39.543541
0,23,23,Probe,23.0,,,,40.034375
0,24,24,Probe,24.0,,,,41.810375
0,25,25,RecentScan,25.0,,,,25.854291
0,26,26,Probe,26.0,,,,43.218959
0,27,27,GbgCollect,3.0,,,,0.0
0,28,28,RecentScan,28.0,,,,26.235833
0,29,29,Update,,,,,0.07925
0,30,30,BuildSnap,30.0,,,,0.0
0,31,31,Probe,31.0,,,,46.511959
0,32,32,Probe,32.0,,,,43.337708
0,33,33,Update,,,,,0.027667
0,34,34,RecentScan,34.0,,,,25.016291
0,35,35,RecentScan,35.0,,,,23.349375
0,36,36,Update,,,,,0.033333
0,37,37,BuildSnap,37.0,,,,0.0015
0,38,38,GbgCollect,8.0,,,,0.0
0,39,39,Probe,39.0,,,,43.942375
0,40,40,Update,,,,,0.020667
0,41,41,RecentScan,41.0,,,,24.105375
0,42,42,Probe,42.0,,,,43.189959
0,43,43,Probe,43.0,,,,45.093541
0,44,44,Update,,,,,0.019375
0,45,45,BuildSnap,45.0,,,,0.0
0,46,46,Probe,46.0,,,,40.413958
0,47,47,RecentScan,47.0,,,,24.634917
0,48,48,RecentScan,48.0,,,,24.863333
0,49,49,Probe,49.0,,,,45.709042
0,50,50,RecentScan,50.0,,,,22.933166
0,51,51,Update,,,,,0.021625
0,52,52,Update,,,,,0.033167
0,53,53,BuildSnap,53.0,,,,0.0
0,54,54,RecentScan,54.0,,,,23.800084
0,55,55,Update,,,,,0.028208999999999998
0,56,56,Probe,56.0,,,,41.740292
0,57,57,RecentScan,57.0,,,,26.787667
0,58,58,Probe,58.0,,,,43.255583
0,59,59,RecentScan,59.0,,,,26.724959
0,60,60,RecentScan,60.0,,,,27.088417
0,61,61,Probe,61.0,,,,39.77625
0,62,62,Probe,62.0,,,,42.271667
0,63,63,Probe,63.0,,,,39.444042
0,64,64,Probe,64.0,,,,42.855042
0,65,65,GbgCollect,16.0,,,,0.0
0,66,66,Probe,66.0,,,,40.887583
0,67,67,RecentScan,67.0,,,,26.87825
0,68,68,Probe,68.0,,,,37.92975
0,69,69,RecentScan,69.0,,,,26.519083
0,70,70,Probe,70.0,,,,40.746916
0,71,71,RecentScan,71.0,,,,24.205041
0,72,72,Probe,72.0,,,,42.71325
0,73,73,Probe,73.0,,,,44.137792
0,74,74,GbgCollect,30.0,,,,0.0
0,75,75,RecentScan,75.0,,,,26.842458
0,76,76,RecentScan,76.0,,,,26.527
0,77,77,RecentScan,77.0,,,,24.605334
0,78,78,RecentScan,78.0,,,,25.439125
0,79,79,Probe,79.0,,,,41.935042
0,80,80,Update,,,,,0.019458
0,81,81,BuildSnap,81.0,,,,0.0
0,82,82,Update,,,,,0.015
0,83,83,RecentScan,83.0,,,,25.92775
0,84,84,RecentScan,84.0,,,,24.540042
0,85,85,Probe,85.0,,,,44.31775
0,86,86,RecentScan,86.0,,,,26.429792
0,87,87,Probe,87.0,,,,44.539416
0,88,88,Probe,88.0,,,,44.144834
0,89,89,RecentScan,89.0,,,,26.659583
0,90,90,Update,,,,,0.031084
0,91,91,BuildSnap,91.0,,,,0.0
0,92,92,Probe,92.0,,,,41.071709
0,93,93,RecentScan,93.0,,,,27.5445
0,94,94,Update,,,,,0.066541
0,95,95,RecentScan,95.0,,,,25.419959
0,96,96,Probe,96.0,,,,43.804916
0,97,97,Probe,97.0,,,,39.706917
0,98,98,RecentScan,98.0,,,,24.931875
0,99,99,Probe,99.0,,,,40.390042
0,100,100,RecentScan,100.0,,,,28.238792
0,101,101,Probe,101.0,,,,41.933333
0,102,102,RecentScan,102.0,,,,27.063833
0,103,103,Update,,,,,0.06754099999999999
0,104,104,BuildSnap,104.0,,,,0.0
0,105,105,Probe,105.0,,,,41.145583
0,106,106,Update,,,,,0.031041
0,107,107,Probe,107.0,,,,43.473584
0,108,108,Update,,,,,0.022458
0,109,109,BuildSnap,109.0,,,,0.0
0,110,110,Probe,110.0,,,,45.048334
0,111,111,RecentScan,111.0,,,,26.194083
0,112,112,Probe,112.0,,,,42.476209
0,113,113,RecentScan,113.0,,,,25.532416
0,114,114,RecentScan,114.0,,,,27.637625
0,115,115,Probe,115.0,,,,40.646334
0,116,116,RecentScan,116.0,,,,27.079083
