table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,case
naive,No Repair,0,0,InitLoad,1.197208,90000.0,,,,,0,history0
naive,No Repair,1,1,BuildSnap,0.0,,1.0,,,,0,history0
naive,No Repair,2,2,Update,0.0,9.0,,,,,0,history0
naive,No Repair,3,3,BuildSnap,0.0,,3.0,,,,0,history0
naive,No Repair,4,4,BuildSnap,73.947417,,4.0,,,RecentScan,0,history0
naive,No Repair,4,4,RecentScan,24.458125,,4.0,,,,0,history0
naive,No Repair,5,5,Update,0.0,9.0,,,,,0,history0
naive,No Repair,6,6,BuildSnap,72.458042,,6.0,,,RecentScan,0,history0
naive,No Repair,6,6,RecentScan,24.85975,,6.0,,,,0,history0
naive,No Repair,7,7,Update,0.0,9.0,,,,,0,history0
naive,No Repair,8,8,BuildSnap,0.0,,8.0,,,,0,history0
naive,No Repair,9,9,BuildSnap,70.80275,,9.0,,,RecentScan,0,history0
naive,No Repair,9,9,RecentScan,25.074584,,9.0,,,,0,history0
naive,No Repair,10,10,Update,0.0,9.0,,,,,0,history0
naive,No Repair,11,11,BuildSnap,72.465875,,11.0,,,RecentScan,0,history0
naive,No Repair,11,11,RecentScan,24.439791,,11.0,,,,0,history0
naive,No Repair,12,12,BuildSnap,72.953667,,12.0,,,RecentScan,0,history0
naive,No Repair,12,12,RecentScan,26.376209,,12.0,,,,0,history0
naive,No Repair,13,13,BuildSnap,69.101584,,13.0,,,Probe,0,history0
naive,No Repair,13,13,Probe,37.213291,900.0,13.0,,,,0,history0
naive,No Repair,14,14,GbgCollect,0.0,,1.0,,,,0,history0
naive,No Repair,15,15,Update,0.0,9.0,,,,,0,history0
naive,No Repair,16,16,BuildSnap,0.0,,16.0,,,,0,history0
naive,No Repair,17,17,Update,0.0,9.0,,,,,0,history0
naive,No Repair,18,18,BuildSnap,71.08125,,18.0,,,Probe,0,history0
naive,No Repair,18,18,Probe,41.958542,900.0,18.0,,,,0,history0
naive,No Repair,19,19,BuildSnap,75.945333,,19.0,,,RecentScan,0,history0
naive,No Repair,19,19,RecentScan,25.502458,,19.0,,,,0,history0
naive,No Repair,20,20,BuildSnap,74.827459,,20.0,,,RecentScan,0,history0
naive,No Repair,20,20,RecentScan,28.722375,,20.0,,,,0,history0
naive,No Repair,21,21,BuildSnap,72.95425,,21.0,,,RecentScan,0,history0
naive,No Repair,21,21,RecentScan,28.264167,,21.0,,,,0,history0
naive,No Repair,22,22,BuildSnap,72.753334,,22.0,,,Probe,0,history0
naive,No Repair,22,22,Probe,40.921875,900.0,22.0,,,,0,history0
naive,No Repair,23,23,BuildSnap,75.818333,,23.0,,,Probe,0,history0
naive,No Repair,23,23,Probe,41.4475,900.0,23.0,,,,0,history0
naive,No Repair,24,24,BuildSnap,76.732416,,24.0,,,Probe,0,history0
naive,No Repair,24,24,Probe,42.005958,900.0,24.0,,,,0,history0
naive,No Repair,25,25,BuildSnap,72.9305,,25.0,,,RecentScan,0,history0
naive,No Repair,25,25,RecentScan,29.052167,,25.0,,,,0,history0
naive,No Repair,26,26,BuildSnap,100.948208,,26.0,,,Probe,0,history0
naive,No Repair,26,26,Probe,44.436167,900.0,26.0,,,,0,history0
naive,No Repair,27,27,GbgCollect,0.0,,3.0,,,,0,history0
naive,No Repair,28,28,BuildSnap,77.159583,,28.0,,,RecentScan,0,history0
naive,No Repair,28,28,RecentScan,30.174291,,28.0,,,,0,history0
naive,No Repair,29,29,Update,0.0,9.0,,,,,0,history0
naive,No Repair,30,30,BuildSnap,0.0,,30.0,,,,0,history0
naive,No Repair,31,31,BuildSnap,76.049583,,31.0,,,Probe,0,history0
naive,No Repair,31,31,Probe,46.334083,900.0,31.0,,,,0,history0
naive,No Repair,32,32,BuildSnap,76.0805,,32.0,,,Probe,0,history0
naive,No Repair,32,32,Probe,46.729375,900.0,32.0,,,,0,history0
naive,No Repair,33,33,Update,0.0,9.0,,,,,0,history0
naive,No Repair,34,34,BuildSnap,76.332166,,34.0,,,RecentScan,0,history0
naive,No Repair,34,34,RecentScan,31.321375,,34.0,,,,0,history0
naive,No Repair,35,35,BuildSnap,76.282375,,35.0,,,RecentScan,0,history0
naive,No Repair,35,35,RecentScan,35.020083,,35.0,,,,0,history0
naive,No Repair,36,36,Update,0.0,9.0,,,,,0,history0
naive,No Repair,37,37,BuildSnap,0.0,,37.0,,,,0,history0
naive,No Repair,38,38,GbgCollect,0.5845,,8.0,,,,0,history0
naive,No Repair,39,39,BuildSnap,77.509958,,39.0,,,Probe,0,history0
naive,No Repair,39,39,Probe,43.831458,900.0,39.0,,,,0,history0
naive,No Repair,40,40,Update,0.0,9.0,,,,,0,history0
naive,No Repair,41,41,BuildSnap,76.438,,41.0,,,RecentScan,0,history0
naive,No Repair,41,41,RecentScan,28.817041,,41.0,,,,0,history0
naive,No Repair,42,42,BuildSnap,74.824792,,42.0,,,Probe,0,history0
naive,No Repair,42,42,Probe,43.041792,900.0,42.0,,,,0,history0
naive,No Repair,43,43,BuildSnap,74.431375,,43.0,,,Probe,0,history0
naive,No Repair,43,43,Probe,42.382583,900.0,43.0,,,,0,history0
naive,No Repair,44,44,Update,0.0,9.0,,,,,0,history0
naive,No Repair,45,45,BuildSnap,0.0,,45.0,,,,0,history0
naive,No Repair,46,46,BuildSnap,76.431292,,46.0,,,Probe,0,history0
naive,No Repair,46,46,Probe,41.953292,900.0,46.0,,,,0,history0
naive,No Repair,47,47,BuildSnap,76.572792,,47.0,,,RecentScan,0,history0
naive,No Repair,47,47,RecentScan,28.743541,,47.0,,,,0,history0
naive,No Repair,48,48,BuildSnap,74.63975,,48.0,,,RecentScan,0,history0
naive,No Repair,48,48,RecentScan,30.176083,,48.0,,,,0,history0
