table_type,repair_mode,update_pct,distribution,part_rows,lineitem_rows,update_ops,j1_alloc_ms,j1_insert_ms,join1_build_ms,join1_probe_ms,update_ms,join2_build_ms,join2_probe_ms,total_ms,join1_matched,join2_matched,join1_q14_ratio,join2_q14_ratio
Naive,Nr,0.010000,uniform,200000,75983,20,0.001924,182.115500,182.117424,143.674083,0.000069,186.550285,139.014750,651.356611,75983,75983,16.380779,16.383111
Ivmh,Nr,0.010000,uniform,200000,75983,20,10.489701,66.144861,76.634562,69.263326,0.012500,0.000000,68.837889,214.748277,75983,75983,16.380779,16.383111
Heap,Wr,0.010000,uniform,200000,75983,20,15.006548,87.904049,102.910597,101.659514,3.139514,0.000000,101.854938,309.564563,75983,75983,16.380779,16.383111
Chain,Wr,0.010000,uniform,200000,75983,20,19.953951,89.756549,109.710500,111.616048,8.045771,0.000000,138.143986,367.516306,75983,75983,16.380779,16.383111
Par,Wr,0.010000,uniform,200000,75983,20,19.183570,72.104882,91.288451,95.086313,3.972445,0.000000,125.210972,315.558181,75983,75983,16.380779,16.383111
Naive,Nr,0.200000,uniform,200000,75983,400,0.001285,117.501667,117.502952,90.941535,0.000049,121.317952,102.415764,432.178250,75983,75983,16.380779,16.377525
Ivmh,Nr,0.200000,uniform,200000,75983,400,8.965056,51.309326,60.274382,57.868285,0.198535,0.000000,54.126590,172.467792,75983,75983,16.380779,16.377525
Heap,Wr,0.200000,uniform,200000,75983,400,11.681000,46.633410,58.314410,58.211521,2.751771,0.000000,60.927125,180.204827,75983,75983,16.380779,16.377525
Chain,Wr,0.200000,uniform,200000,75983,400,16.719007,92.313062,109.032069,106.072597,5.874243,0.000000,112.515194,333.494104,75983,75983,16.380779,16.377525
Par,Wr,0.200000,uniform,200000,75983,400,11.531389,47.580625,59.112014,62.394646,3.899958,0.000000,67.603736,193.010354,75983,75983,16.380779,16.377525
Naive,Nr,0.400000,uniform,200000,75983,800,0.001424,81.804583,81.806007,67.517729,0.000069,84.166750,74.667590,308.158145,75983,75983,16.380779,16.367966
Ivmh,Nr,0.400000,uniform,200000,75983,800,11.160264,72.760403,83.920667,82.039639,0.594292,0.000000,87.279521,253.834118,75983,75983,16.380779,16.367966
Heap,Wr,0.400000,uniform,200000,75983,800,12.250042,54.739514,66.989555,80.371139,4.310146,0.000000,83.482708,235.153548,75983,75983,16.380779,16.367966
Chain,Wr,0.400000,uniform,200000,75983,800,12.094889,49.973090,62.067979,64.189583,5.962743,0.000000,65.455361,197.675666,75983,75983,16.380779,16.367966
Par,Wr,0.400000,uniform,200000,75983,800,12.003819,48.785334,60.789153,60.788646,4.802542,0.000000,65.125368,191.505709,75983,75983,16.380779,16.367966
Naive,Nr,0.600000,uniform,200000,75983,1200,0.001083,111.426070,111.427153,94.217479,0.000077,118.406569,105.636694,429.687972,75983,75983,16.380779,16.403160
Ivmh,Nr,0.600000,uniform,200000,75983,1200,9.774166,52.922625,62.696792,53.285264,0.515854,0.000000,54.136430,170.634340,75983,75983,16.380779,16.403160
Heap,Wr,0.600000,uniform,200000,75983,1200,12.463819,54.162167,66.625986,69.958021,4.397382,0.000000,72.520167,213.501555,75983,75983,16.380779,16.403160
Chain,Wr,0.600000,uniform,200000,75983,1200,25.036465,127.648826,152.685292,149.699986,13.301542,0.000000,136.358319,452.045139,75983,75983,16.380779,16.403160
Par,Wr,0.600000,uniform,200000,75983,1200,13.144076,55.685180,68.829257,69.999049,8.130250,0.000000,81.376195,228.334750,75983,75983,16.380779,16.403160
Naive,Nr,0.800000,uniform,200000,75983,1600,0.003202,139.305216,139.308417,163.328750,0.000111,187.206306,125.101680,614.945264,75983,75983,16.380779,16.391863
Ivmh,Nr,0.800000,uniform,200000,75983,1600,11.003292,64.524444,75.527736,70.634340,0.775347,0.000000,64.616570,211.553993,75983,75983,16.380779,16.391863
Heap,Wr,0.800000,uniform,200000,75983,1600,15.464722,98.238743,113.703465,92.747799,5.581889,0.000000,93.978187,306.011341,75983,75983,16.380779,16.391863
Chain,Wr,0.800000,uniform,200000,75983,1600,9.907291,55.755868,65.663160,67.706611,7.271070,0.000000,63.054118,203.694958,75983,75983,16.380779,16.391863
Par,Wr,0.800000,uniform,200000,75983,1600,8.445688,38.471778,46.917465,43.553014,5.999285,0.000000,59.498062,155.967826,75983,75983,16.380779,16.391863
Naive,Nr,1.000000,uniform,200000,75983,2000,0.000882,46.018604,46.019486,33.032354,0.000014,43.927437,31.973007,154.952298,75983,75983,16.380779,16.400676
Ivmh,Nr,1.000000,uniform,200000,75983,2000,4.948125,32.390576,37.338701,32.297382,0.486285,0.000000,28.554972,98.677340,75983,75983,16.380779,16.400676
Heap,Wr,1.000000,uniform,200000,75983,2000,6.305507,32.342243,38.647750,34.522368,2.897285,0.000000,31.268028,107.335431,75983,75983,16.380779,16.400676
Chain,Wr,1.000000,uniform,200000,75983,2000,9.436944,62.290271,71.727215,78.885493,9.555437,0.000000,72.335993,232.504139,75983,75983,16.380779,16.400676
Par,Wr,1.000000,uniform,200000,75983,2000,17.487347,79.947639,97.434986,93.584063,15.994681,0.000000,138.715444,345.729173,75983,75983,16.380779,16.400676
Naive,Nr,2.000000,uniform,200000,75983,4000,0.002903,125.425382,125.428285,112.329340,0.000042,133.567278,106.109153,477.434097,75983,75983,16.380779,16.439317
Ivmh,Nr,2.000000,uniform,200000,75983,4000,8.290938,50.365195,58.656132,50.598375,1.579500,0.000000,48.140514,158.974521,75983,75983,16.380779,16.439317
Heap,Wr,2.000000,uniform,200000,75983,4000,12.575097,62.480674,75.055771,79.289854,9.564153,0.000000,85.667347,249.577125,75983,75983,16.380779,16.439317
Chain,Wr,2.000000,uniform,200000,75983,4000,15.947695,98.432333,114.380028,104.362326,33.983320,0.000000,117.195229,369.920903,75983,75983,16.380779,16.439317
Par,Wr,2.000000,uniform,200000,75983,4000,14.325736,54.364951,68.690688,73.252882,19.579403,0.000000,109.390736,270.913708,75983,75983,16.380779,16.439317
Naive,Nr,5.000000,uniform,200000,75983,10000,0.001861,91.597201,91.599063,79.671576,0.000069,112.392660,71.291972,354.955340,75983,75983,16.380779,16.457183
Ivmh,Nr,5.000000,uniform,200000,75983,10000,9.793771,67.443507,77.237277,66.912611,5.397243,0.000000,63.150722,212.697854,75983,75983,16.380779,16.457183
Heap,Wr,5.000000,uniform,200000,75983,10000,14.448951,70.589208,85.038160,101.982257,22.697681,0.000000,148.636132,358.354230,75983,75983,16.380779,16.457183
Chain,Wr,5.000000,uniform,200000,75983,10000,17.870465,93.952285,111.822750,131.862944,48.328875,0.000000,127.877667,419.892236,75983,75983,16.380779,16.457183
Par,Wr,5.000000,uniform,200000,75983,10000,17.014173,72.483618,89.497791,101.883451,54.799854,0.000000,166.352666,412.533763,75983,75983,16.380779,16.457183
