table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space,current_mib,additional_mib,total_mib
naive,NR,4696473600,3157560000,150360000,150360000,3007200000,1538913600,143.39447021484375,4335.511779785156,4478.90625
ivmh,NR,2907340800,1954680000,150360000,150360000,1804320000,952660800,143.39447021484375,2629.2617797851562,2772.65625
heap,NR,240074752,163290960,150360000,150360000,12930960,76783792,143.39447021484375,85.55865478515625,228.953125
heap,RR,240074752,163290960,150360000,150360000,12930960,76783792,143.39447021484375,85.55865478515625,228.953125
heap,WR,240074752,163290960,150360000,150360000,12930960,76783792,143.39447021484375,85.55865478515625,228.953125
chain,NR,248184832,163290960,150360000,150360000,12930960,84893872,143.39447021484375,93.29302978515625,236.6875
chain,RR,248184832,163290960,150360000,150360000,12930960,84893872,143.39447021484375,93.29302978515625,236.6875
chain,WR,248184832,163290960,150360000,150360000,12930960,84893872,143.39447021484375,93.29302978515625,236.6875
par,NR,370032640,163292392,150360000,150360000,12932392,206740248,143.39447021484375,209.49615478515625,352.890625
par,RR,370032640,163290960,150360000,150360000,12930960,206741680,143.39447021484375,209.49615478515625,352.890625
par,WR,370032640,163290960,150360000,150360000,12930960,206741680,143.39447021484375,209.49615478515625,352.890625
