table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space,current_mib,additional_mib,total_mib
naive,NR,1565491200,1052520000,150360000,150360000,902160000,512971200,143.39447021484375,1349.5742797851562,1492.96875
ivmh,NR,1565491200,1052520000,150360000,150360000,902160000,512971200,143.39447021484375,1349.5742797851562,1492.96875
heap,NR,230588416,154570080,150360000,150360000,4210080,76018336,143.39447021484375,76.51177978515625,219.90625
heap,RR,230588416,154570080,150360000,150360000,4210080,76018336,143.39447021484375,76.51177978515625,219.90625
heap,WR,230588416,154570080,150360000,150360000,4210080,76018336,143.39447021484375,76.51177978515625,219.90625
chain,NR,239058944,154570080,150360000,150360000,4210080,84488864,143.39447021484375,84.58990478515625,227.984375
chain,RR,239058944,154570080,150360000,150360000,4210080,84488864,143.39447021484375,84.58990478515625,227.984375
chain,WR,239058944,154570080,150360000,150360000,4210080,84488864,143.39447021484375,84.58990478515625,227.984375
par,NR,285409280,154570080,150360000,150360000,4210080,130839200,143.39447021484375,128.79302978515625,272.1875
par,RR,285409280,154570080,150360000,150360000,4210080,130839200,143.39447021484375,128.79302978515625,272.1875
par,WR,285409280,154570080,150360000,150360000,4210080,130839200,143.39447021484375,128.79302978515625,272.1875
