table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space,current_mib,additional_mib,total_mib
naive,NR,7827456000,5262600000,150360000,150360000,5112240000,2564856000,143.39447021484375,7321.449279785156,7464.84375
ivmh,NR,2012774400,1353240000,150360000,150360000,1202880000,659534400,143.39447021484375,1776.1367797851562,1919.53125
heap,NR,249102336,171711120,150360000,150360000,21351120,77391216,143.39447021484375,94.16802978515625,237.5625
heap,RR,249102336,171711120,150360000,150360000,21351120,77391216,143.39447021484375,94.16802978515625,237.5625
heap,WR,249102336,171711120,150360000,150360000,21351120,77391216,143.39447021484375,94.16802978515625,237.5625
chain,NR,256950272,171711120,150360000,150360000,21351120,85239152,143.39447021484375,101.65240478515625,245.046875
chain,RR,256950272,171711120,150360000,150360000,21351120,85239152,143.39447021484375,101.65240478515625,245.046875
chain,WR,256950272,171711120,150360000,150360000,21351120,85239152,143.39447021484375,101.65240478515625,245.046875
par,NR,449888256,171712552,150360000,150360000,21352552,278175704,143.39447021484375,285.65240478515625,429.046875
par,RR,449888256,171711120,150360000,150360000,21351120,278177136,143.39447021484375,285.65240478515625,429.046875
par,WR,449888256,171711120,150360000,150360000,21351120,278177136,143.39447021484375,285.65240478515625,429.046875
