table_type,repair_type,duration_ms,total_ms,delta_ratio
naive,,9182.551850444444,91.82551850444445,0.0
ivmh,,8877.307207333333,88.77307207333334,0.0
heap,No Repair,6801.0372173333335,68.01037217333334,0.0
heap,Read Repair,6466.566231,64.66566231,0.0
heap,Write Repair,5175.836402333333,51.758364023333336,0.0
chain,No Repair,6533.7650533333335,65.33765053333333,0.0
chain,Read Repair,6622.427593,66.22427593,0.0
chain,Write Repair,6647.141888333333,66.47141888333333,0.0
par,No Repair,6938.281209333334,69.38281209333334,0.0
par,Read Repair,6592.938722,65.92938722,0.0
par,Write Repair,5296.350982333333,52.96350982333333,0.0
naive,,11099.832612333334,110.99832612333334,0.05
ivmh,,10764.539524222222,107.64539524222222,0.05
heap,No Repair,7143.397676666667,71.43397676666667,0.05
heap,Read Repair,6588.885497,65.88885497,0.05
heap,Write Repair,5613.869577,56.138695770000005,0.05
chain,No Repair,7097.7040640000005,70.97704064,0.05
chain,Read Repair,7139.826047,71.39826047,0.05
chain,Write Repair,7206.174861666666,72.06174861666666,0.05
par,No Repair,6467.497031333333,64.67497031333333,0.05
par,Read Repair,6491.301462333333,64.91301462333332,0.05
par,Write Repair,4929.573084666667,49.295730846666665,0.05
naive,,12901.993564444443,129.01993564444444,0.1
ivmh,,12974.239552222221,129.7423955222222,0.1
heap,No Repair,7640.287484666667,76.40287484666668,0.1
heap,Read Repair,7219.315535999999,72.19315535999999,0.1
heap,Write Repair,6224.857804666666,62.248578046666665,0.1
chain,No Repair,6668.2959046666665,66.68295904666667,0.1
chain,Read Repair,6302.9109296666675,63.029109296666675,0.1
chain,Write Repair,6776.518319,67.76518319,0.1
par,No Repair,6201.643129666667,62.01643129666667,0.1
par,Read Repair,6182.592326999999,61.82592327,0.1
par,Write Repair,4755.132145,47.551321449999996,0.1
naive,,14338.616868333333,143.38616868333332,0.15
ivmh,,14402.892077666666,144.02892077666667,0.15
heap,No Repair,7891.161060333333,78.91161060333333,0.15
heap,Read Repair,7517.115477333333,75.17115477333333,0.15
heap,Write Repair,6581.382433333333,65.81382433333333,0.15
chain,No Repair,6793.063707666667,67.93063707666667,0.15
chain,Read Repair,6883.166437666667,68.83166437666667,0.15
chain,Write Repair,6861.178169666667,68.61178169666667,0.15
par,No Repair,5868.554039333333,58.68554039333333,0.15
par,Read Repair,5906.318126666666,59.06318126666666,0.15
par,Write Repair,4498.901702666667,44.98901702666667,0.15
naive,,16157.424138222223,161.57424138222223,0.2
ivmh,,15985.830543555554,159.85830543555554,0.2
heap,No Repair,8158.682461,81.58682461000001,0.2
heap,Read Repair,7902.02537,79.0202537,0.2
heap,Write Repair,7025.640370666667,70.25640370666667,0.2
chain,No Repair,7125.920933333334,71.25920933333333,0.2
chain,Read Repair,7226.664740333334,72.26664740333334,0.2
chain,Write Repair,7237.1687563333335,72.37168756333334,0.2
par,No Repair,5396.894876333333,53.96894876333333,0.2
par,Read Repair,5837.738088000001,58.37738088000001,0.2
par,Write Repair,4187.054649333334,41.87054649333334,0.2
naive,,17937.039414111114,179.37039414111115,0.25
ivmh,,17838.499455333334,178.38499455333334,0.25
heap,No Repair,8694.361339666666,86.94361339666666,0.25
heap,Read Repair,8426.589302333334,84.26589302333333,0.25
heap,Write Repair,7633.528776333334,76.33528776333334,0.25
chain,No Repair,7525.540369333333,75.25540369333334,0.25
chain,Read Repair,7569.276504,75.69276504,0.25
chain,Write Repair,7589.331031333334,75.89331031333334,0.25
par,No Repair,5107.702428,51.077024279999996,0.25
par,Read Repair,5481.616623000001,54.81616623000001,0.25
par,Write Repair,4011.0373799999998,40.1103738,0.25
