table_type,repair_type,duration_ms,total_ms,reuse_ratio
naive,,14661.564224333333,146.61564224333333,0.0
ivmh,,14250.956957777778,142.5095695777778,0.0
heap,No Repair,8016.246185333333,80.16246185333334,0.0
heap,Read Repair,7784.989970333333,77.84989970333334,0.0
heap,Write Repair,6736.658522000001,67.36658522,0.0
chain,No Repair,7725.994659,77.25994659,0.0
chain,Read Repair,7708.135015,77.08135014999999,0.0
chain,Write Repair,7766.923877,77.66923877,0.0
par,No Repair,5884.691813333334,58.84691813333334,0.0
par,Read Repair,6174.169054666666,61.74169054666666,0.0
par,Write Repair,4486.584604666667,44.86584604666667,0.0
naive,,14627.904853,146.27904853,0.2
ivmh,,14224.64524388889,142.2464524388889,0.2
heap,No Repair,8005.084211999999,80.05084211999998,0.2
heap,Read Repair,7623.897984,76.23897984,0.2
heap,Write Repair,6702.058432333334,67.02058432333334,0.2
chain,No Repair,7552.409044,75.52409044,0.2
chain,Read Repair,7579.7965933333335,75.79796593333333,0.2
chain,Write Repair,7602.144378333333,76.02144378333334,0.2
par,No Repair,5846.294126000001,58.46294126000001,0.2
par,Read Repair,6080.671428999999,60.80671428999999,0.2
par,Write Repair,4495.5008843333335,44.95500884333333,0.2
naive,,14603.031848333334,146.03031848333333,0.4
ivmh,,14579.265927999999,145.79265927999998,0.4
heap,No Repair,8088.522149,80.88522149,0.4
heap,Read Repair,7703.116370666667,77.03116370666666,0.4
heap,Write Repair,6772.753822333333,67.72753822333333,0.4
chain,No Repair,6888.909970333333,68.88909970333333,0.4
chain,Read Repair,6978.456761,69.78456761000001,0.4
chain,Write Repair,6988.71236,69.88712360000001,0.4
par,No Repair,5844.525814666667,58.445258146666674,0.4
par,Read Repair,5825.326846333333,58.253268463333335,0.4
par,Write Repair,4437.028644666666,44.37028644666666,0.4
naive,,14670.054145444445,146.70054145444445,0.6
ivmh,,14658.465347888889,146.5846534788889,0.6
heap,No Repair,8079.734191666666,80.79734191666667,0.6
heap,Read Repair,7447.994421666666,74.47994421666667,0.6
heap,Write Repair,6781.318451333333,67.81318451333333,0.6
chain,No Repair,6908.926736666667,69.08926736666668,0.6
chain,Read Repair,6966.4341036666665,69.66434103666667,0.6
chain,Write Repair,6975.362850666667,69.75362850666667,0.6
par,No Repair,5856.892465666667,58.56892465666667,0.6
par,Read Repair,5898.135076333333,58.98135076333333,0.6
par,Write Repair,4607.542224333333,46.075422243333335,0.6
naive,,14577.920093666666,145.77920093666665,0.8
ivmh,,14699.624614111111,146.9962461411111,0.8
heap,No Repair,8090.548597333333,80.90548597333333,0.8
heap,Read Repair,7469.467540000001,74.69467540000001,0.8
heap,Write Repair,6784.844761666667,67.84844761666668,0.8
chain,No Repair,7117.797839999999,71.17797839999999,0.8
chain,Read Repair,7152.189256000001,71.52189256000001,0.8
chain,Write Repair,7236.618651,72.36618650999999,0.8
par,No Repair,5873.094582666666,58.730945826666655,0.8
par,Read Repair,5784.521387,57.845213869999995,0.8
par,Write Repair,4533.764356666667,45.337643566666664,0.8
naive,,14826.528524222222,148.2652852422222,1.0
ivmh,,14702.604585333334,147.02604585333336,1.0
heap,No Repair,7998.60989,79.9860989,1.0
heap,Read Repair,7264.183685666667,72.64183685666667,1.0
heap,Write Repair,6881.802386,68.81802386,1.0
chain,No Repair,6962.140442666667,69.62140442666667,1.0
chain,Read Repair,6986.148232666666,69.86148232666666,1.0
chain,Write Repair,6958.9238909999995,69.58923890999999,1.0
par,No Repair,5816.320125666666,58.16320125666666,1.0
par,Read Repair,5932.400639666666,59.32400639666666,1.0
par,Write Repair,4471.681135333333,44.716811353333334,1.0
