table_type,repair_type,duration_ms,total_ms,update_ratio
naive,,14649.933568333334,146.49933568333333,0.01
ivmh,,14937.262928555554,149.37262928555555,0.01
heap,No Repair,8250.995990333335,82.50995990333335,0.01
heap,Read Repair,7871.511470666667,78.71511470666667,0.01
heap,Write Repair,7006.3854556666665,70.06385455666667,0.01
chain,No Repair,6614.132018666666,66.14132018666666,0.01
chain,Read Repair,7161.239484999999,71.61239484999999,0.01
chain,Write Repair,7485.624305,74.85624305,0.01
par,No Repair,6055.316073999999,60.553160739999996,0.01
par,Read Repair,6151.443450333333,61.514434503333334,0.01
par,Write Repair,4764.616608,47.64616608,0.01
naive,,15010.081177333332,150.1008117733333,0.05
ivmh,,16661.52213655556,166.61522136555558,0.05
heap,No Repair,9825.506081666666,98.25506081666667,0.05
heap,Read Repair,9173.244586,91.73244586000001,0.05
heap,Write Repair,8428.506872333333,84.28506872333334,0.05
chain,No Repair,7524.8431986666665,75.24843198666666,0.05
chain,Read Repair,7440.196696999999,74.40196696999999,0.05
chain,Write Repair,9201.072035333333,92.01072035333333,0.05
par,No Repair,7395.856304666667,73.95856304666667,0.05
par,Read Repair,7293.050536,72.93050536,0.05
par,Write Repair,6066.695288333333,60.66695288333333,0.05
naive,,15678.680883555557,156.78680883555558,0.1
ivmh,,18570.296684999998,185.70296684999997,0.1
heap,No Repair,11570.818423333332,115.70818423333333,0.1
heap,Read Repair,10399.200832,103.99200832000001,0.1
heap,Write Repair,9947.604355666668,99.47604355666668,0.1
chain,No Repair,8591.203891333333,85.91203891333333,0.1
chain,Read Repair,8569.381507,85.69381507,0.1
chain,Write Repair,10286.363864,102.86363864,0.1
par,No Repair,8976.979129333333,89.76979129333333,0.1
par,Read Repair,8439.638952666666,84.39638952666667,0.1
par,Write Repair,7421.018598333333,74.21018598333333,0.1
naive,,16371.233691222222,163.7123369122222,0.15
ivmh,,20335.762859555554,203.35762859555555,0.15
heap,No Repair,13627.013206666665,136.27013206666663,0.15
heap,Read Repair,11528.785608666667,115.28785608666666,0.15
heap,Write Repair,11214.389102000001,112.14389102000001,0.15
chain,No Repair,9643.565354333334,96.43565354333333,0.15
chain,Read Repair,9554.780458666666,95.54780458666666,0.15
chain,Write Repair,11173.166011333335,111.73166011333335,0.15
par,No Repair,10484.944593333334,104.84944593333334,0.15
par,Read Repair,9480.621215666666,94.80621215666666,0.15
par,Write Repair,8710.299513666667,87.10299513666666,0.15
naive,,17104.47872777778,171.0447872777778,0.2
ivmh,,22474.508894444443,224.74508894444443,0.2
heap,No Repair,15016.202483000001,150.16202483,0.2
heap,Read Repair,12682.836280000001,126.82836280000001,0.2
heap,Write Repair,12610.299113333334,126.10299113333335,0.2
chain,No Repair,10708.644562333333,107.08644562333333,0.2
chain,Read Repair,10614.057316,106.14057316,0.2
chain,Write Repair,12065.074986333333,120.65074986333333,0.2
par,No Repair,12011.874876,120.11874876,0.2
par,Read Repair,10534.095219333334,105.34095219333334,0.2
par,Write Repair,10041.161153666666,100.41161153666665,0.2
