table_type,repair_mode,update_pct,distribution,part_rows,lineitem_rows,update_ops,j1_alloc_ms,j1_insert_ms,join1_build_ms,join1_probe_ms,update_ms,join2_build_ms,join2_probe_ms,total_ms,join1_matched,join2_matched,join1_q14_ratio,join2_q14_ratio
Naive,Nr,0.010000,uniform,200000,75983,20,0.000501,219.387854,219.388355,72.821784,0.000000,238.837766,72.488778,603.536683,75983,75983,16.380779,16.383111
Ivmh,Nr,0.010000,uniform,200000,75983,20,12.399875,236.705729,249.105604,70.862587,0.013572,0.000000,67.108811,387.090574,75983,75983,16.380779,16.383111
Heap,Wr,0.010000,uniform,200000,75983,20,48.994667,256.408331,305.402998,74.376555,1.489488,0.000000,71.189793,452.458834,75983,75983,16.380779,16.383111
Chain,Wr,0.010000,uniform,200000,75983,20,47.966848,253.454468,301.421317,76.570680,1.705041,0.000000,73.357188,453.054225,75983,75983,16.380779,16.383111
Par,Wr,0.010000,uniform,200000,75983,20,48.842938,259.254798,308.097736,77.199017,1.725571,0.000000,76.750119,463.772444,75983,75983,16.380779,16.383111
Naive,Nr,0.020000,uniform,200000,75983,40,0.000443,222.873601,222.874044,72.762600,0.000000,221.854452,73.034792,590.525888,75983,75983,16.380779,16.376793
Ivmh,Nr,0.020000,uniform,200000,75983,40,12.390766,240.120799,252.511565,71.957056,0.026114,0.000000,67.166266,391.661001,75983,75983,16.380779,16.376793
Heap,Wr,0.020000,uniform,200000,75983,40,48.434033,249.914646,298.348679,74.940165,1.507441,0.000000,71.085571,445.881855,75983,75983,16.380779,16.376793
Chain,Wr,0.020000,uniform,200000,75983,40,48.024863,253.951431,301.976294,76.577048,1.873215,0.000000,73.743806,454.170363,75983,75983,16.380779,16.376793
Par,Wr,0.020000,uniform,200000,75983,40,48.881923,262.415663,311.297586,77.501225,1.847630,0.000000,77.640698,468.287140,75983,75983,16.380779,16.376793
Naive,Nr,0.030000,uniform,200000,75983,60,0.000704,219.164914,219.165619,73.485361,0.000000,237.921545,71.556307,602.128832,75983,75983,16.380779,16.380841
