table_type,repair_mode,reader_threads,writer_threads,read_tx_size,update_tx_size,read_rounds,update_pct,bucket_num,total_probes,total_updates,read_tx_count,update_tx_count,total_ms,avg_read_latency_ms,p95_read_latency_ms,avg_read_wait_ms,p95_read_wait_ms,avg_read_exec_ms,avg_update_latency_ms,p95_update_latency_ms,avg_update_wait_ms,p95_update_wait_ms,avg_update_exec_ms,reader_probe_throughput,reader_tx_throughput,writer_update_throughput,writer_tx_throughput
Snap,Nr,1,1,2048,256,4,1.000000,2048,303932,2000,152,8,748.781116,2.438941,2.870551,0.000181,0.000299,2.438760,93.166016,104.871800,0.000063,0.000306,93.165953,405923.965693,203.007392,2671.149900,10.684600
Ivmh,Nr,1,1,2048,256,4,1.000000,2048,303932,2000,152,8,724.559340,2.265703,2.335644,0.000130,0.000262,2.265572,90.123692,98.979907,0.000065,0.000291,90.123627,421004.164461,210.549179,2770.383931,11.081536
Heap,Wr,1,1,2048,256,4,1.000000,2048,303932,2000,152,8,256.694514,1.686551,1.958325,0.000026,0.000035,1.686525,0.568272,0.780618,0.000103,0.000214,0.568169,1184039.282148,592.152096,7791.474949,31.165900
Chain,Wr,1,1,2048,256,4,1.000000,2048,303932,2000,152,8,266.668339,1.752320,1.882127,0.000027,0.000031,1.752293,1.587224,2.572352,0.000066,0.000177,1.587158,1139740.696554,569.997848,7499.971682,29.999887
Par,Wr,1,1,2048,256,4,1.000000,2048,303932,2000,152,8,328.675698,2.159987,2.476755,0.010966,0.000267,2.149021,4.646948,7.153502,0.000096,0.000218,4.646851,924971.736466,462.589342,6086.701871,24.346807
Snap,Nr,2,1,2048,256,4,1.000000,2048,303932,2000,152,8,789.909446,2.902820,2.415889,0.000228,0.000299,2.902592,98.309177,131.169568,0.000056,0.000239,98.309121,384778.308444,192.432198,2532.002609,10.128010
Ivmh,Nr,2,1,2048,256,4,1.000000,2048,303932,2000,152,8,759.576844,2.693661,2.521616,0.000136,0.000245,2.693525,94.492697,138.285398,0.000077,0.000403,94.492620,401414.445866,200.752128,2641.475369,10.565901
Heap,Wr,2,1,2048,256,4,1.000000,2048,303932,2000,152,8,156.922491,2.053583,2.443720,0.000027,0.000035,2.053556,0.448674,0.682190,0.000078,0.000170,0.448596,1936963.635711,968.698500,12746.032900,50.984132
Chain,Wr,2,1,2048,256,4,1.000000,2048,303932,2000,152,8,161.330108,2.115214,2.293356,0.000028,0.000031,2.115186,1.628723,2.352340,0.000079,0.000241,1.628644,1883915.945869,942.168721,12396.956858,49.587827
Par,Wr,2,1,2048,256,4,1.000000,2048,303932,2000,152,8,193.603716,2.534527,3.856513,0.025766,0.171368,2.508761,4.911745,7.405228,0.000106,0.000196,4.911639,1569884.129911,785.117683,10330.495834,41.321983
Snap,Nr,4,1,2048,256,4,1.000000,2048,303932,2000,152,8,826.052499,4.020816,3.626256,0.000251,0.000309,4.020565,102.410875,169.075024,0.000077,0.000364,102.410798,369336.155960,184.709395,2430.386770,9.721547
Ivmh,Nr,4,1,2048,256,4,1.000000,2048,303932,2000,152,8,822.938803,4.010329,3.810711,0.000206,0.000395,4.010123,102.347024,174.886450,0.000084,0.000468,102.346940,369630.088981,184.856394,2432.320973,9.729284
Heap,Wr,4,1,2048,256,4,1.000000,2048,303932,2000,152,8,95.768827,2.496578,2.845634,0.000031,0.000039,2.496546,0.522788,0.765146,0.000102,0.000217,0.522686,3173854.383897,1587.282242,20885.292657,83.541171
Chain,Wr,4,1,2048,256,4,1.000000,2048,303932,2000,152,8,104.881779,2.729510,3.249524,0.000032,0.000039,2.729479,2.467675,3.304359,0.000148,0.000328,2.467527,2898086.038244,1449.367220,19070.621312,76.282485
Par,Wr,4,1,2048,256,4,1.000000,2048,303932,2000,152,8,126.253702,3.289065,6.994796,0.071656,0.424800,3.217409,5.832601,7.954337,0.000137,0.000304,5.832464,2407315.222221,1203.926911,15841.143560,63.364574
Snap,Nr,8,1,2048,256,4,1.000000,2048,303932,2000,152,8,827.422646,7.459404,14.242956,0.000428,0.000722,7.458976,102.963694,197.388100,0.000067,0.000325,102.963627,367348.867098,183.715528,2417.309576,9.669238
Ivmh,Nr,8,1,2048,256,4,1.000000,2048,303932,2000,152,8,839.915764,7.358989,12.669527,0.000447,0.000990,7.358542,104.530674,198.738536,0.000064,0.000312,104.530610,361865.427706,180.973195,2381.226246,9.524905
Heap,Wr,8,1,2048,256,4,1.000000,2048,303932,2000,152,8,101.186670,5.243402,6.262102,0.000037,0.000068,5.243366,0.895377,1.211261,0.000107,0.000247,0.895270,3003847.125734,1502.259595,19766.573613,79.066294
Chain,Wr,8,1,2048,256,4,1.000000,2048,303932,2000,152,8,124.668733,6.485447,14.958805,0.000042,0.000067,6.485405,5.524011,7.216945,0.000150,0.000339,5.523861,2442294.651718,1221.420538,16071.322873,64.285291
Par,Wr,8,1,2048,256,4,1.000000,2048,303932,2000,152,8,132.125741,6.896700,11.456722,0.388652,1.443237,6.508048,9.690496,12.127523,0.000178,0.000328,9.690318,2300351.150373,1150.432909,15137.275117,60.549100
