table_type,repair_mode,worker_threads,join_txs,scan_txs,delta_txs,update_waves,readable_every,historical_ratio,update_pct,bucket_num,update_ops,total_ms,avg_join_latency_ms,p95_join_latency_ms,avg_scan_latency_ms,p95_scan_latency_ms,avg_delta_latency_ms,avg_update_latency_ms
Snap,Nr,5,47,23,0,30,2,0.4000,0.010000,4096,20,4531.924120,324.254326,545.047906,284.669608,487.977744,0.000000,0.000200
Ivmh,Nr,5,47,23,0,30,2,0.4000,0.010000,4096,20,2987.479448,209.353520,536.753452,137.885121,457.072999,0.000000,24.894637
Heap,Wr,5,47,23,0,30,2,0.4000,0.010000,4096,20,1136.574057,90.746268,98.400114,54.810841,82.522294,0.000000,0.033227
Chain,Wr,5,47,23,0,30,2,0.4000,0.010000,4096,20,1147.048273,91.369827,96.030267,55.411887,83.009348,0.000000,0.052507
Par,Wr,5,47,23,0,30,2,0.4000,0.010000,4096,20,1516.220829,107.219918,156.227388,69.280918,123.494853,0.000000,30.770694
Snap,Nr,5,40,20,10,30,2,0.4000,0.010000,4096,20,4905.696845,344.958467,605.532192,318.823046,522.470606,356.580050,0.000312
Ivmh,Nr,5,40,20,10,30,2,0.4000,0.010000,4096,20,4091.854538,137.382149,490.546194,126.230623,324.890205,872.335732,30.387742
Heap,Wr,5,40,20,10,30,2,0.4000,0.010000,4096,20,1218.302292,80.660873,89.052252,61.817774,86.008159,130.991680,0.030471
Chain,Wr,5,40,20,10,30,2,0.4000,0.010000,4096,20,1166.526270,84.257905,93.306470,57.066400,82.956709,103.381654,0.050442
Par,Wr,5,40,20,10,30,2,0.4000,0.010000,4096,20,1296.837671,102.766550,141.463680,65.031675,93.264854,17.754772,29.546383
Snap,Nr,5,33,17,20,30,2,0.4000,0.010000,4096,20,5067.363697,338.702260,591.994543,377.736141,581.877129,337.978010,0.000300
Ivmh,Nr,5,33,17,20,30,2,0.4000,0.010000,4096,20,4375.200962,193.301175,521.310021,246.211185,537.684702,424.769715,18.098683
Heap,Wr,5,33,17,20,30,2,0.4000,0.010000,4096,20,1325.987998,78.962597,93.951830,68.641862,86.462895,130.960390,0.032987
Chain,Wr,5,33,17,20,30,2,0.4000,0.010000,4096,20,1198.367341,80.316750,92.374754,64.902589,83.889659,103.264628,0.050071
Par,Wr,5,33,17,20,30,2,0.4000,0.010000,4096,20,1257.727149,102.287732,140.226380,73.999550,112.928977,28.572190,35.428489
Snap,Nr,5,27,13,30,30,2,0.4000,0.010000,4096,20,5352.840428,376.694251,657.232122,347.714481,580.220949,372.123793,0.000284
Ivmh,Nr,5,27,13,30,30,2,0.4000,0.010000,4096,20,4905.025337,137.103636,486.426579,170.179943,355.505952,505.053132,28.279023
Heap,Wr,5,27,13,30,30,2,0.4000,0.010000,4096,20,1401.081730,73.131493,87.749334,77.406218,87.349300,129.217661,0.030711
Chain,Wr,5,27,13,30,30,2,0.4000,0.010000,4096,20,1274.677097,76.501242,93.502052,79.208498,88.432085,102.857660,0.093427
Par,Wr,5,27,13,30,30,2,0.4000,0.010000,4096,20,1241.883281,102.400276,175.113451,80.630480,124.018874,46.204636,33.412236
Snap,Nr,5,20,10,40,30,2,0.4000,0.010000,4096,20,5724.480227,329.059394,578.525530,364.439074,558.120496,414.371936,0.000247
Ivmh,Nr,5,20,10,40,30,2,0.4000,0.010000,4096,20,5152.636079,121.022989,398.153890,188.763953,404.359469,464.830400,23.424771
Heap,Wr,5,20,10,40,30,2,0.4000,0.010000,4096,20,1510.860634,70.405302,87.795968,82.984548,87.074099,127.465666,0.028994
Chain,Wr,5,20,10,40,30,2,0.4000,0.010000,4096,20,1311.578048,73.357858,92.023983,81.225281,88.121636,102.548161,0.043883
Par,Wr,5,20,10,40,30,2,0.4000,0.010000,4096,20,1397.743535,114.425559,172.603602,83.743953,152.741515,64.154430,42.694597
