table_type,repair_mode,worker_threads,join_txs,scan_txs,delta_txs,update_waves,readable_every,historical_ratio,update_pct,bucket_num,update_ops,total_ms,avg_join_latency_ms,p95_join_latency_ms,avg_scan_latency_ms,p95_scan_latency_ms,avg_delta_latency_ms,avg_update_latency_ms
Snap,Nr,5,47,23,0,30,2,0.0000,0.010000,4096,20,5577.416727,425.325910,534.664508,322.245356,477.276473,0.000000,0.000296
Ivmh,Nr,5,47,23,0,30,2,0.0000,0.010000,4096,20,2564.751847,175.447764,604.040012,111.441852,450.060927,0.000000,26.767225
Heap,Wr,5,47,23,0,30,2,0.0000,0.010000,4096,20,1119.358583,88.342971,94.598963,56.352899,85.501730,0.000000,0.033653
Chain,Wr,5,47,23,0,30,2,0.0000,0.010000,4096,20,1132.709654,90.875108,97.879613,53.296447,77.915187,0.000000,0.094771
Par,Wr,5,47,23,0,30,2,0.0000,0.010000,4096,20,1413.953583,106.434940,136.009310,67.301973,114.122373,0.000000,16.927120
Snap,Nr,5,47,23,0,30,2,0.2000,0.010000,4096,20,4956.850501,361.116568,544.823246,299.358600,495.649897,0.000000,0.000243
Ivmh,Nr,5,47,23,0,30,2,0.2000,0.010000,4096,20,2749.460335,189.909401,621.524812,143.291317,481.610366,0.000000,32.193910
Heap,Wr,5,47,23,0,30,2,0.2000,0.010000,4096,20,1110.606690,87.523834,91.998762,54.859089,84.024205,0.000000,0.034186
Chain,Wr,5,47,23,0,30,2,0.2000,0.010000,4096,20,1147.178916,92.815107,97.851460,53.099987,78.830498,0.000000,0.050637
Par,Wr,5,47,23,0,30,2,0.2000,0.010000,4096,20,1429.992988,107.090401,143.218311,63.029922,109.313915,0.000000,21.678129
Snap,Nr,5,47,23,0,30,2,0.4000,0.010000,4096,20,4659.840389,332.972055,565.395967,297.429113,501.260541,0.000000,0.000259
Ivmh,Nr,5,47,23,0,30,2,0.4000,0.010000,4096,20,3076.821570,209.188263,547.135011,171.251802,497.472701,0.000000,21.299787
Heap,Wr,5,47,23,0,30,2,0.4000,0.010000,4096,20,1094.293426,86.357341,90.906386,54.301039,82.605011,0.000000,0.033643
Chain,Wr,5,47,23,0,30,2,0.4000,0.010000,4096,20,1145.278994,93.298089,97.855836,52.358410,70.408051,0.000000,0.055734
Par,Wr,5,47,23,0,30,2,0.4000,0.010000,4096,20,1457.773686,106.920402,139.338049,65.262927,113.789837,0.000000,24.864848
Snap,Nr,5,47,23,0,30,2,0.6000,0.010000,4096,20,4334.217700,312.353570,620.008019,287.362015,609.776369,0.000000,0.000332
Ivmh,Nr,5,47,23,0,30,2,0.6000,0.010000,4096,20,2806.144125,180.354772,550.670898,196.213584,513.890852,0.000000,18.558825
Heap,Wr,5,47,23,0,30,2,0.6000,0.010000,4096,20,1101.718024,86.609825,90.835024,54.715415,80.327386,0.000000,0.033802
Chain,Wr,5,47,23,0,30,2,0.6000,0.010000,4096,20,1080.291010,85.442565,97.377858,53.234853,71.955406,0.000000,0.049481
Par,Wr,5,47,23,0,30,2,0.6000,0.010000,4096,20,1486.132370,109.270512,148.654019,66.294023,114.698867,0.000000,25.199040
Snap,Nr,5,47,23,0,30,2,0.8000,0.010000,4096,20,3770.327258,297.401155,626.218712,174.614514,522.117066,0.000000,0.000223
Ivmh,Nr,5,47,23,0,30,2,0.8000,0.010000,4096,20,3051.118042,237.133337,504.487468,128.568277,368.568535,0.000000,9.546592
Heap,Wr,5,47,23,0,30,2,0.8000,0.010000,4096,20,1117.582168,87.948403,92.580896,55.678038,86.240372,0.000000,0.032599
Chain,Wr,5,47,23,0,30,2,0.8000,0.010000,4096,20,1118.320973,90.138952,103.211106,52.456632,71.745674,0.000000,0.267140
Par,Wr,5,47,23,0,30,2,0.8000,0.010000,4096,20,1480.221280,109.774221,147.382561,63.843576,116.483712,0.000000,25.084692
Snap,Nr,5,47,23,0,30,2,1.0000,0.010000,4096,20,2997.678585,199.041410,476.323128,221.050371,476.210830,0.000000,0.000230
Ivmh,Nr,5,47,23,0,30,2,1.0000,0.010000,4096,20,3016.047373,196.494760,473.898152,223.254687,480.034134,0.000000,2.468526
Heap,Wr,5,47,23,0,30,2,1.0000,0.010000,4096,20,1132.728493,88.526070,94.434367,56.325014,86.812833,0.000000,0.033642
Chain,Wr,5,47,23,0,30,2,1.0000,0.010000,4096,20,1141.867677,92.190492,101.037201,52.416673,68.513199,0.000000,0.051077
Par,Wr,5,47,23,0,30,2,1.0000,0.010000,4096,20,1467.069734,106.617308,137.769017,65.109936,112.025861,0.000000,26.846445
