table_type,repair_mode,reader_threads,read_tx_size,update_pct,bucket_num,update_ops,history_total_ms,history_avg_read_latency_ms,history_p95_read_latency_ms,history_avg_read_wait_ms,history_p95_read_wait_ms,history_avg_read_exec_ms,history_avg_update_latency_ms,fresh_total_ms,fresh_avg_read_latency_ms,fresh_p95_read_latency_ms,fresh_avg_read_wait_ms,fresh_p95_read_wait_ms,fresh_avg_read_exec_ms,fresh_avg_update_latency_ms,mixed_total_ms
Snap,Nr,4,2048,0.010000,4096,20,360.827878,345.985872,346.241347,342.318255,342.445945,3.667617,345.217956,254.053996,253.829960,253.856658,250.749159,250.755138,3.080800,250.755070,368.734270
Ivmh,Nr,4,2048,0.010000,4096,20,289.142159,288.675204,288.896377,285.096356,285.209200,3.578848,0.034919,3.617386,3.101236,3.400702,0.028261,0.034557,3.072975,0.034906,297.782750
Heap,Wr,4,2048,0.010000,4096,20,4.407227,3.749755,4.161464,0.000199,0.000267,3.749557,0.061216,3.397421,2.921196,3.189993,0.036714,0.041250,2.884482,0.043238,6.110761
Chain,Wr,4,2048,0.010000,4096,20,4.271968,3.676851,4.044564,0.000223,0.000339,3.676628,0.367605,3.783266,3.159771,3.571725,0.161593,0.168032,2.998178,0.168288,6.964984
Par,Wr,4,2048,0.010000,4096,20,3.572820,3.084338,3.186815,0.000356,0.000508,3.083982,3.381361,4.446363,3.781774,4.156481,0.689383,0.693059,3.092391,0.697920,8.826466
Snap,Nr,4,2048,0.020000,4096,40,358.967688,357.024154,357.287967,353.451132,353.564095,3.573022,348.784184,284.642578,284.390138,284.410614,281.338435,281.344452,3.051703,281.340779,389.480763
Ivmh,Nr,4,2048,0.020000,4096,40,296.789249,296.356691,296.617224,292.779224,292.901966,3.577467,0.044405,3.553608,2.909648,3.364372,0.039420,0.044805,2.870228,0.044572,287.478936
Heap,Wr,4,2048,0.020000,4096,40,3.317718,2.992021,3.105517,0.000169,0.000237,2.991852,0.109774,3.145038,2.864929,2.907047,0.078095,0.080529,2.786835,0.082308,6.993217
Chain,Wr,4,2048,0.020000,4096,40,4.603906,3.554879,4.337368,0.000256,0.000316,3.554623,0.483991,4.002150,3.577672,3.786484,0.260540,0.267987,3.317132,0.271105,6.418574
Par,Wr,4,2048,0.020000,4096,40,4.097721,3.546153,3.726782,0.000331,0.000436,3.545823,3.928224,4.113689,3.620408,3.895421,0.522044,0.525496,3.098364,0.524575,9.317034
Snap,Nr,4,2048,0.030000,4096,60,354.131327,353.705380,353.921336,350.178518,350.275543,3.526863,349.112757,277.079949,276.839951,276.864285,273.795836,273.801523,3.044115,273.803892,356.450337
Ivmh,Nr,4,2048,0.030000,4096,60,266.387527,265.918821,266.184157,262.347248,262.461181,3.571573,0.091025,3.661485,3.076895,3.399306,0.086406,0.090428,2.990489,0.091700,299.546197
Heap,Wr,4,2048,0.030000,4096,60,3.284093,2.904862,3.102804,0.000177,0.000264,2.904686,0.132259,3.105369,2.844468,2.919788,0.110013,0.115591,2.734455,0.117588,6.269209
Chain,Wr,4,2048,0.030000,4096,60,4.204019,3.573348,3.961064,0.000241,0.000362,3.573108,0.688453,4.290261,3.479492,4.050565,0.358919,0.363145,3.120573,0.365241,6.313935
Par,Wr,4,2048,0.030000,4096,60,4.540784,3.665191,4.085444,0.000321,0.000389,3.664870,4.325840,4.871840,4.152230,4.622565,1.010666,1.015011,3.141564,1.015780,8.778430
Snap,Nr,4,2048,0.040000,4096,80,378.204229,375.607430,375.832117,371.999693,372.110239,3.607737,377.986693,310.056742,309.789619,309.803915,306.790845,306.796472,2.998775,306.794568,387.894498
Ivmh,Nr,4,2048,0.040000,4096,80,296.227416,295.788606,296.017769,292.193498,292.306894,3.595107,0.081073,3.441585,3.043817,3.229821,0.128171,0.135984,2.915645,0.138387,301.679871
Heap,Wr,4,2048,0.040000,4096,80,3.444146,2.941578,3.207631,0.000178,0.000234,2.941400,0.214397,3.815130,3.195089,3.560170,0.172172,0.177489,3.022918,0.181232,6.763187
Chain,Wr,4,2048,0.040000,4096,80,3.827074,3.481750,3.598196,0.000280,0.000362,3.481470,0.690205,4.331806,3.803650,4.073506,0.621030,0.625688,3.182621,0.631516,7.009930
Par,Wr,4,2048,0.040000,4096,80,4.455204,3.746396,4.034238,0.000377,0.000449,3.746019,4.264549,4.532902,4.091292,4.302962,0.785315,0.790375,3.305977,0.789735,9.131550
Snap,Nr,4,2048,0.050000,4096,100,359.426974,358.047318,358.312846,354.420251,354.543813,3.627067,348.578770,284.382006,284.094858,284.112579,281.001413,281.005917,3.093445,281.008312,380.699013
Ivmh,Nr,4,2048,0.050000,4096,100,304.918709,304.460805,304.703301,300.836073,300.953723,3.624732,0.123066,3.973935,3.265024,3.776587,0.094428,0.100555,3.170596,0.098260,305.061932
Heap,Wr,4,2048,0.050000,4096,100,3.400164,2.950293,3.234394,0.000145,0.000192,2.950147,0.178321,4.042840,3.718649,3.823321,0.156513,0.165395,3.562136,0.158936,6.354861
Chain,Wr,4,2048,0.050000,4096,100,4.099413,3.757934,3.888639,0.000261,0.000356,3.757673,0.958152,4.559811,4.180594,4.321586,0.579595,0.586206,3.600999,0.582747,6.941083
Par,Wr,4,2048,0.050000,4096,100,4.272341,3.604667,3.900084,0.000337,0.000524,3.604329,4.101110,5.118564,4.526504,4.908528,1.155330,1.159730,3.371173,1.159427,9.437286
Snap,Nr,4,2048,0.060000,4096,120,337.752119,326.996194,327.225271,323.358989,323.460480,3.637205,326.803173,248.084796,247.865092,247.892495,244.801576,244.808716,3.063515,244.811288,358.318500
Ivmh,Nr,4,2048,0.060000,4096,120,318.619539,318.147481,318.411652,314.527760,314.643507,3.619721,0.141307,3.824144,3.064892,3.611819,0.167603,0.174460,2.897289,0.174295,292.224254
Heap,Wr,4,2048,0.060000,4096,120,4.101787,3.787497,3.866500,0.000264,0.000315,3.787233,0.355041,3.801589,3.381714,3.523622,0.264027,0.269194,3.117687,0.270892,6.751621
