table_type,repair_mode,round,rounds_total,bucket_num,delta_r_count,delta_s_count,build_r_ms,build_s_ms,delta_r_extract_ms,delta_r_probe_ms,delta_s_extract_ms,delta_s_probe_ms,total_round_ms,total_ms
Snap,Nr,0,5,4096,4,3008,222.630,55.275,485.573,0.008,101.955,4.085,591.963,3454.880
Snap,Nr,1,5,4096,4,3026,222.630,55.275,491.615,0.008,106.912,4.078,602.975,3454.880
Snap,Nr,2,5,4096,4,3010,222.630,55.275,487.394,0.008,123.543,4.270,615.547,3454.880
Snap,Nr,3,5,4096,4,3024,222.630,55.275,484.793,0.009,126.734,4.240,616.109,3454.880
Snap,Nr,4,5,4096,4,3012,222.630,55.275,414.646,0.009,299.753,4.263,719.417,3454.880
Ivmh,Nr,0,5,4096,4,3008,64.345,20.834,480.753,0.008,102.757,3.485,589.742,3242.179
Ivmh,Nr,1,5,4096,4,3026,64.345,20.834,474.802,0.007,103.476,3.493,584.522,3242.179
Ivmh,Nr,2,5,4096,4,3010,64.345,20.834,481.676,0.007,119.905,3.559,608.015,3242.179
Ivmh,Nr,3,5,4096,4,3024,64.345,20.834,476.414,0.008,127.879,3.577,610.708,3242.179
Ivmh,Nr,4,5,4096,4,3012,64.345,20.834,416.189,0.008,284.976,3.652,707.902,3242.179
Heap,Wr,0,5,4096,4,3008,151.471,78.749,100.876,0.004,30.654,2.400,135.613,921.105
Heap,Wr,1,5,4096,4,3026,151.471,78.749,101.142,0.003,32.012,2.268,137.139,921.105
Heap,Wr,2,5,4096,4,3010,151.471,78.749,99.743,0.003,33.702,2.254,137.460,921.105
Heap,Wr,3,5,4096,4,3024,151.471,78.749,99.801,0.004,35.184,2.159,138.924,921.105
Heap,Wr,4,5,4096,4,3012,151.471,78.749,100.029,0.003,37.220,2.147,141.236,921.105
Chain,Wr,0,5,4096,4,3008,179.316,92.117,78.127,0.004,24.013,2.928,107.169,819.596
Chain,Wr,1,5,4096,4,3026,179.316,92.117,78.978,0.003,24.893,2.716,108.677,819.596
Chain,Wr,2,5,4096,4,3010,179.316,92.117,78.115,0.004,26.672,2.703,109.706,819.596
Chain,Wr,3,5,4096,4,3024,179.316,92.117,78.349,0.004,27.410,2.608,110.654,819.596
Chain,Wr,4,5,4096,4,3012,179.316,92.117,78.129,0.004,28.366,2.576,111.441,819.596
Par,Wr,0,5,4096,4,3008,125.135,69.692,106.262,0.005,37.852,2.774,155.269,429.110
Par,Wr,1,5,4096,4,3027,125.135,69.692,0.220,0.004,5.500,2.607,16.566,429.110
Par,Wr,2,5,4096,4,3011,125.135,69.692,0.590,0.006,5.888,2.634,17.248,429.110
Par,Wr,3,5,4096,4,3025,125.135,69.692,0.264,0.010,5.265,2.549,21.556,429.110
Par,Wr,4,5,4096,4,3014,125.135,69.692,0.260,0.010,5.264,2.571,22.563,429.110
